codice,descrizione,quantita,id,esploso,
2105050-Y01,Cablaggio commutazione interruttore power?off,1,6,Y01006,
2105060-Y01,Clip doppia testa (19mm),1,7,Y01006,
2107000-Y01,Sistema di ricarica,1,,Y01007,
2107010-Y01,Caricatore di bordo (OBC),1,1,Y01007,
Q1460820,Bullone M8 20 con rondella elastica e rondella piana,4,2,Y01007,
2107020-Y01,Presa di ricarica standard europea,1,3,Y01007,
S18606003,Bullone esagonale con flangia,4,4,Y01007,
2105040-Y01,Clip doppio tubo ( 34),4,5,Y01007,
S32006003,Dado esagonale con flangia,4,6,Y01007,
2107030-Y01,Caricatore EV (EN),1,7,Y01007,
2105060-Y01,Clip doppia testa (19mm),3,8,Y01007,
S32006003,Dado esagonale con flangia,3,9,Y01007,
2107040-Y01,Caricatore doppia testa (EN),1,10,Y01007,
2107050-Y01,Borsa pistola di ricarica,1,11,Y01007,
2110000-Y01,Assieme convertitore DCDC,1,,Y01008,
2110010-Y01,Convertitore DCDC,1,1,Y01008,
S32006003,Dado esagonale con flangia,4,2,Y01008,
2108000-Y01,Assieme VCU,1,,Y01009,
2108010-Y01,Unit  controllo veicolo,1,1,Y01009,
2108010Y0201,Unit  controllo veicolo (versione ENI),1,2,Y01009,
S32006003,Dado esagonale con flangia,4,3,Y01009,
2142000-Y01,Assieme unit  controllo motore,1,,Y010010,
2142010-Y01,Assieme controller motore,1,1,Y010010,
Q1460820,Bullone M8 20 con rondella elastica e rondella piana,4,2,Y010010,
3600000-Y01,Unit  elettronica veicolo,1,,Y010011,
3601010-Y01,Modulo controllo carrozzeria (BCM),1,1,Y010011,
3601010Y0200,Modulo controllo carrozzeria (BCM),1,1,Y010011,
3601010Y0201,Modulo controllo carrozzeria (BCM) (versione ENI),1,1,Y010011,
S32006003,Dado esagonale con flangia,2,2,Y010011,
3700000-Y01,Equipaggiamento elettrico veicolo,1,,Y010012,
3703010-Y01,Batteria 12V,1,1,Y010012,
3704010-Y01,Interruttore avvio passivo,1,2,Y010012,
3721010-Y01,Clacson alta tonalit ,1,3,Y010012,
Q1860630,Bullone esagonale con flangia M6 30,1,4,Y010012,
3736010-Y01,Interruttore power?off,1,5,Y010012,
3736011-Y01,Protezione interruttore power?off,1,,Y010012,
S14606005,Bullone M6 16 con rondella elastica e rondella piana,2,6,Y010012,
3746010-Y01,Interruttore comando alzacristalli,2,9,Y010012,
3766010-Y01,Interruttore avviso,1,10,Y010012,
3774010-Y01,Assieme interruttore combinato,1,11,Y010012,
S23004001,Vite testa cilindrica a croce,2,12,Y010012,
3778010-Y01,Blocco volante,1,13,Y010012,
3781010-Y01,Interruttore marce,1,14,Y010012,
3781010-Y01-A,Interruttore marce (senza posizione S),1,,Y010012,
3782010-Y01,Interruttore regolazione specchietto retrovisore elettrico,1,15,Y010012,
3790010-Y01,Cilindro serratura porta sinistra,1,16,Y010012,
3790030-Y01,Anello fermo cilindro serratura porta sinistra,1,17,Y010012,
3790020-Y01,Interruttore apertura portellone,1,18,Y010012,
3791010-Y01,Telecomando,2,19,Y010012,
3791010Y0201,Telecomando (versione ENI),1,,Y010012,
3791020-Y01,Interruttore PE (con antenna),1,20,Y010012,
3504102-Y01,Interruttore freno,2,21,Y010012,
3721020-Y01,Allarme bassa velocit  (AVAS),1,24,Y010012,
S32006003,Dado esagonale con flangia,2,,Y010012,
ST0205,Vite autofilettante a croce M2 5,2,,Y010012,
3820000-Y01,Assieme schermo centrale,1,,Y010013,
3820010-Y01,Schermo centrale (7 pollici),1,1,Y010013,
3820020Y0202,Schermo centrale (7 pollici),1,,Y010013,
3820000Y0201,Assieme schermo centrale (versione ENI),1,,Y010013,
3820010Y0201,Schermo centrale (7 pollici) (versione ENI),1,1,Y010013,
3820020Y0203,Schermo centrale (7 pollici) (versione ENI),1,,Y010013,
S27348002,Vite autofilettante testa larga semitonda a croce,4,2,Y010013,
3820012-Y01,Supporto telefono,1,3,Y010013,
4000000-Y01,Assieme cablaggio bassa tensione,1,,Y010014,
4002010-Y01,Cablaggio vano anteriore,1,1,Y010014,
4002010Y0201,Assieme cablaggio vano anteriore (versione ENI),1,1,Y010014,
4002020-Y01,Assieme cablaggio tetto,1,2,Y010014,
4002020Y0200,Assieme cablaggio tetto (versione Hall),1,2,Y010014,
4002030-Y01,Assieme cablaggio porta sinistra,1,3,Y010014,
4002030Y0200,Assieme cablaggio porta sinistra (versione Hall),1,3,Y010014,
4002040-Y01,Assieme cablaggio porta destra,1,4,Y010014,
4002040Y0200,Assieme cablaggio porta destra (versione Hall),1,4,Y010014,
4003010-Y01,Assieme cablaggio principale,1,5,Y010014,
4003010Y0200,Assieme cablaggio principale (versione Hall),1,5,Y010014,
4003010Y0201,Assieme cablaggio principale (versione Hall) (versione ENI),1,5,Y010014,
S18606003,Bullone esagonale con flangia,2,6,Y010014,
S27348002,Vite autofilettante testa larga semitonda a croce,2,7,Y010014,
4003020-Y01,Assieme cablaggio cruscotto ausiliario,1,8,Y010014,
4013010-Y01,Assieme cablaggio portellone,1,9,Y010014,
4013010Y0200,Assieme cablaggio portellone (versione Hall),1,9,Y010014,
4013020-Y01,Assieme cablaggio paraurti posteriore,1,10,Y010014,
4013020Y0201,Assieme cablaggio paraurti posteriore (versione ENI),1,10,Y010014,
5200000-Y01,Sistema tergicristallo e lavavetri,1,,Y010015,
5205010-Y01,Motore tergicristallo,1,1,Y010015,
S32006003,Dado esagonale con flangia,4,2,Y010015,
5205020Y0200,Braccio tergicristallo (con tubo ugello),1,3,Y010015,
5205030Y0200,Lama tergicristallo,1,4,Y010015,
5207010-Y01,Assieme vaschetta lavavetri (con tubo acqua),1,5,Y010015,
Q1860635,Bulloni esagonali con flangia M6 35,2,6,Y010015,
5207020Y0200,Assieme tubo a due vie,1,7,Y010015,
5205040Y0200,Cappuccio dado tergicristallo anteriore,1,8,Y010015,
S32006003,Dado esagonale con flangia,1,9,Y010015,
8100000-Y01,Sistema climatizzazione,1,,Y010016,
8103010-Y01,Assieme compressore elettrico,1,1,Y010016,
S32008001,Dado esagonale con flangia,4,2,Y010016,
8103020-Y01,Unit  controllo compressore,1,3,Y010016,
S32006003,Dado esagonale con flangia,4,4,Y010016,
8105010-Y01,Assieme condensatore,1,5,Y010016,
8107010Y0205,Assieme HVAC,1,6,Y010016,
S32006003,Dado esagonale con flangia,3,7,Y010016,
Q402B06,Guarnizione,3,8,Y010016,
8108010Y0101,Tubo aspirazione compressore (EU filler),1,9,Y010016,
8108020-Y01,Tubo scarico compressore,1,10,Y010016,
8108030Y0101,Tubo ingresso fluido serbatoio evaporazione,1,11,Y010016,
S14606002,Bullone testa esagonale con rondella elastica e rondella piana,5,12,Y010016,
8112010-Y01,Assieme pannello controllo climatizzatore,1,13,Y010016,
S27342003,Vite autofilettante testa larga semitonda 4.2 13,2,14,Y010016,
Q1460625,Bullone testa esagonale con rondella elastica e rondella piana,4,15,Y010016,
S14606005,Bullone M6 16 con rondella elastica e rondella piana,2,16,Y010016,
7900000-Y01,Dispositivo comunicazione informazioni,,,Y010017,
7903010-Y01,Antenna avvio,1,1,Y010017,
S32006003,Dado esagonale con flangia,2,2,Y010017,
7911010-Y01,Altoparlante,1,3,Y010017,
S27348002,Vite autofilettante testa larga semitonda a croce,4,4,Y010017,
7925040-Y01,T?BOX (4G),1,5,Y010017,
S32006003,Dado esagonale con flangia,2,6,Y010017,
7925020-Y01,USB cruscotto ausiliario,1,7,Y010017,
7925030-Y01,USB cruscotto,1,8,Y010017,
2901000-Y01,Sospensione anteriore,1,,Y010018,
2801100Y0210,Assieme telaio ausiliario anteriore,1,1,Y010018,
S18510001,Bullone esagonale con flangia,8,2,Y010018,
Q1841050TF61,Bulloni flangiati,8,,Y010018,
Q1461025,Bullone esagonale M10 25 con rondella elastica e rondella piana,8,,Y010018,
2904100Y0210,Assieme braccio oscillante anteriore,2,03-apr,Y010018,
S18510006,Dado esagonale all?metal a coppia prevalente con flangia,2,5,Y010018,
S33110001,Dado esagonale all?metal a coppia prevalente con flangia,2,6,Y010018,
Q32010,Dado esagonale con flangia,2,6,Y010018,
2906100-Y01,Assieme barra stabilizzatrice,1,7,Y010018,
2906101Y0210,Barra stabilizzatrice anteriore,1,8,Y010018,
2906102-Y01,Boccola barra stabilizzatrice,2,9,Y010018,
2906103Y0210,Staffa montaggio barra stabilizzatrice,2,10,Y010018,
2906105-Y01,Boccola terminale barra stabilizzatrice,4,11,Y010018,
2906108Y0210,Rondella grande  12,2,12,Y010018,
2906107-Y01,Rondella grande  16,2,13,Y010018,
S38312001,Dado scanalato esagonale tipo II,2,14,Y010018,
S50032001,Spina di sicurezza,2,15,Y010018,
Q1461030,Bullone testa esagonale con rondella elastica e rondella piana,4,16,Y010018,
2904101-Y01,Assieme ammortizzatore anteriore sinistro,1,1,Y010019,
2904102-Y01,Assieme ammortizzatore anteriore destro,1,2,Y010019,
S32008001,Dado esagonale con flangia,4,3,Y010019,
S18512001,Bullone esagonale con flangia,4,4,Y010019,
S33112001,Dado esagonale all?metal a coppia prevalente con flangia,4,5,Y010019,
3501101-Y01,Assieme freno anteriore sinistro con fusello sterzo,1,6,Y010019,
3501102-Y01,Assieme freno anteriore destro con fusello sterzo,1,7,Y010019,
3501113-Y01,Assieme pinza freno sinistra,1,8,Y010019,
3501112-Y01,Fusello sterzo sinistro,1,9,Y010019,
3501120-Y01,Pastiglia freno,4,10,Y010019,
3501115-Y01,Bullone montaggio staffa,4,11,Y010019,
3501123-Y01,Assieme pinza freno destra,1,12,Y010019,
3501122-Y01,Fusello sterzo destro,1,13,Y010019,
3501111-Y01,Disco freno anteriore,2,14,Y010019,
S18510005,Bullone esagonale con flangia,2,15,Y010019,
S33110001,Dado esagonale all?metal a coppia prevalente con flangia,2,16,Y010019,
3501118-Y01,Anello dentato ABS,2,17,Y010019,
3501119-Y01,Bulloni limitatori cuscinetto,2,18,Y010019,
2911000-Y01,Sospensione posteriore,1,,Y010020,
2912135-Y01,Rondella anello di ritegno,1,,Y010020,
2912100-Y01,Assieme asse di trasmissione posteriore,1,1,Y010020,
2912111-Y01,Tubo asse,1,2,Y010020,
2912112-Y01,Assieme riduttore principale,1,3,Y010020,
2912113-Y01,Pinza freno,1,4,Y010020,
2912114-Y01,Pinza freno,1,5,Y010020,
2912129-Y01,Bullone montaggio staffa,4,6,Y010020,
2912115-Y01,Pastiglia freno,4,7,Y010020,
2912116-Y01,Disco freno posteriore,2,8,Y010020,
2912166-Y01,Rondella tenuta motore,1,9,Y010020,
2912119-Y01,Tappo riempimento dado,1,10,Y010020,
2912132-Y01,Guarnizione tappo riempimento,,,Y010020,
2912120-Y01,Tappo scarico dado,1,11,Y010020,
2912133-Y01,Guarnizione tappo scarico,,,Y010020,
2912121-Y01,Valvola sfiato,1,12,Y010020,
2912123-Y01,Semiasse sinistro,1,13,Y010020,
2912124-Y01,Semiasse destro,1,14,Y010020,
2912125-Y01,Paraolio semiasse,2,15,Y010020,
2912126-Y01,Paraolio albero ingresso,1,16,Y010020,
2912127-Y01,Anello elastico foro,2,17,Y010020,
2912128-Y01,Parafango,2,18,Y010020,
2912118-Y01,Dado bloccaggio disco freno,2,19,Y010020,
Q5004036,Spina di sicurezza,2,20,Y010020,
2914300-Y01,Assieme barra di spinta,2,21,Y010020,
S18512004,Bullone esagonale con flangia,6,22,Y010020,
S33112001,Dado esagonale all?metal a coppia prevalente con flangia,10,23,Y010020,
Q1851020,Bullone esagonale con flangia,2,24,Y010020,
2912017-Y01,Staffa montaggio motore,1,25,Y010020,
S18606004,Bullone esagonale con flangia,2,26,Y010020,
2912130-Y01,Dado esagonale con flangia,2,27,Y010020,
2912131-Y01,Bullone esagonale con flangia,7,28,Y010020,
2915100-Y01,Ammortizzatore posteriore,2,29,Y010020,
S18512001,Bullone esagonale con flangia,2,30,Y010020,
S34012001,Dado esagonale tipo 1,2,31,Y010020,
S40212002,Rondella grande,2,32,Y010020,
S40312001,Rondella elastica,2,33,Y010020,
2912011-Y01,Molla elicoidale posteriore,2,34,Y010020,
2912012Y0210,Sede superiore montaggio molla posteriore,2,35,Y010020,
2912013Y0210,Tampone posteriore,2,36,Y010020,
2914200-Y01,Barra bilanciamento posteriore,1,37,Y010020,
S18512003,Bullone esagonale con flangia,1,38,Y010020,
Q218B0810,Vite testa cilindrica esagonale,8,39,Y010020,
3100000-Y01,Sistema ruote,1,,Y010021,
3100100-Y01,Assieme ruota acciaio 14 ,4,1,Y010021,
3100101-Y01,Pneumatico (155/65?R14),1,2,Y010021,
3100109-Y01,Pneumatico invernale (155/65?R14),1,2,Y010021,
3100106-Y01,Ruota acciaio 14 ,1,3,Y010021,
3100102-Y01,Valvola gonfiaggio,1,4,Y010021,
3106107Y0240,Dado ruota (cerchio acciaio),4,5,Y010021,
3100110-Y01,Assieme ruota alluminio 15 ,4,6,Y010021,
3100111-Y01,Pneumatico (155/60?R15),1,7,Y010021,
3100112-Y01,Pneumatico quattro stagioni (155/60?R15),1,7,Y010021,
3100105-Y01,Ruota alluminio 15 ,1,8,Y010021,
3100113-Y01TR413,Valvola ruota,1,9,Y010021,
3106106Y0240,Dado ruota (cerchio acciaio),4,10,Y010021,
3400000-Y01,Sistema sterzo,1,,Y010022,
3400101-Y01,Assieme scatola guida con tiranti,1,1,Y010022,
3400111-Y01,Corpo scatola guida con tirante interno,1,2,Y010022,
3400118-Y01,Staffa fermo,1,3,Y010022,
3400113-Y01,Testina sterzo,2,4,Y010022,
3400102-Y01,Assieme albero sterzo inferiore,1,5,Y010022,
3400103-Y01,Assieme colonna sterzo,1,6,Y010022,
3400134-Y01,Corpo volante,1,7,Y010022,
S18608002,Bullone esagonale con flangia,2,8,Y010022,
S18608005,Bullone esagonale con flangia,1,9,Y010022,
S32008001,Dado esagonale con flangia,1,10,Y010022,
S38312001,Dado scanalato esagonale tipo II,2,11,Y010022,
S50032001,Spina di sicurezza,2,12,Y010022,
S18608002,Bullone esagonale con flangia,2,13,Y010022,
Q1841050,Bullone esagonale con flangia,2,14,Y010022,
3400135-Y01,Copertura clacson,1,15,Y010022,
3400123-Y01,Colonna sterzo meccanica,1,16,Y010022,
3400124-Y01,Giunto universale colonna sterzo,1,17,Y010022,
3400125-Y01,Dado esagonale all?metal a coppia prevalente con flangia,1,18,Y010022,
3400126-Y01,Bullone testa esagonale,3,19,Y010022,
3400132-Y01,Assale inferiore sterzo,1,20,Y010022,
3400108-Y01,Protezione albero inferiore colonna sterzo,1,21,Y010022,
3400104-Y01,Assieme volante,1,22,Y010022,
3400114-Y01,Copertura antipolvere,2,23,Y010022,
3500000-Y01,Sistema frenante,1,,Y010023,
3508100-Y01,Assieme meccanismo freno di stazionamento,1,1,Y010023,
3508101-Y01,Pedale freno di stazionamento,1,2,Y010023,
S51008001,Perno asse,1,,Y010023,
S50032001,Spina di sicurezza,1,,Y010023,
3508102-Y01,Cavo freno di stazionamento anteriore,1,3,Y010023,
3508103-Y01,Cavo freno di stazionamento posteriore sinistro,1,4,Y010023,
3508104-Y01,Cavo freno di stazionamento posteriore destro,1,5,Y010023,
S32008001,Dado esagonale con flangia,3,6,Y010023,
S18606003,Bullone esagonale con flangia,3,7,Y010023,
3506048-Y01,Anello fermamolla cavo freno di stazionamento,1,8,Y010023,
S50108001,Perno di bloccaggio,1,9,Y010023,
3540102-Y01,Assieme serbatoio vuoto,1,1,Y010024,
3540121-Y01,Serbatoio vuoto,1,2,Y010024,
3540122-Y01,Tappo di tenuta,1,3,Y010024,
3540123-Y01,Assieme controller,1,4,Y010024,
3540124-Y01,Tubo silicone (655),1,5,Y010024,
3540125-Y01,Fascetta tubo,2,6,Y010024,
S18406003,Bullone esagonale con flangia,2,7,Y010024,
Q402B06,Guarnizione,2,8,Y010024,
Q67405100,Fascetta plastica,1,9,Y010024,
3540103-Y01,Assieme pompa vuoto elettronica,1,10,Y010024,
3540131-Y01,Pompa vuoto,1,11,Y010024,
3540132-Y01,Boccola anti?vibrazione,4,12,Y010024,
3540133-Y01,Tubo gomma 90 5mm,1,13,Y010024,
3540134-Y01,Filtro,1,14,Y010024,
3540135-Y01,Tubo gomma 115 5mm,1,15,Y010024,
3540136-Y01,Giunto a T,1,16,Y010024,
3540125-Y01,Fascetta tubo,8,17,Y010024,
Q1860630,Bulloni esagonali con flangia M6 30,4,18,Y010024,
3540101-Y01,Servofreno con cilindro maestro,1,1,Y010025,
3540111-Y01,Servofreno,1,2,Y010025,
3540113-Y01,Serbatoio olio freni,1,3,Y010025,
3540114-Y01,Tappo serbatoio liquido freni,5,4,Y010025,
3550101-Y01,Controller ABS,1,5,Y010025,
3550111-Y01,Boccola montaggio controller ABS,1,6,Y010025,
3506105-Y01,Anello fermamolla tubo freno,4,7,Y010025,
3506106-Y01,Bullone cavo (hollow bolt),4,8,Y010025,
3506112-Y01,Tubo freno posteriore,2,9,Y010025,
3504101-Y01,Assieme pedale freno,1,10,Y010025,
S32008001,Dado esagonale con flangia,4,11,Y010025,
Q1840820,Bullone esagonale con flangia,2,12,Y010025,
3506109-Y01,Tubo freno anteriore sinistro,1,13,Y010025,
3506111-Y01,Tubo freno anteriore destro,1,14,Y010025,
3506114-Y01,Tubo freno posteriore destro sezione anteriore,1,15,Y010025,
3506121-Y01,Tubo freno posteriore destro sezione posteriore,1,16,Y010025,
3506115-Y01,Tubo freno posteriore sinistro sezione anteriore,1,17,Y010025,
3506122-Y01,Tubo freno posteriore sinistro sezione posteriore,1,18,Y010025,
3506101-Y01,Tubo cilindro maestro ? ABS,2,19,Y010025,
3506113Y0210,Clip tubo doppio foro,4,20,Y010025,
3506116Y0210,Clip tubo foro singolo,4,21,Y010025,
3506107-Y01,Rondella in rame,8,22,Y010025,
3550300-Y01,Sensore velocit  ruota anteriore,2,23,Y010025,
3550302-Y01,Staffa sensore velocit  ruota anteriore,2,24,Y010025,
Q1860816,Bullone flangiato esagonale,4,25,Y010025,
S18606003,Bullone esagonale con flangia,2,26,Y010025,
S32006003,Dado esagonale con flangia,2,27,Y010025,
3550400-Y01,Sensore velocit  ruota posteriore,2,28,Y010025,
S18606003,Bullone esagonale con flangia,2,29,Y010025,
3506104-Y01,Tubo freno anteriore,2,30,Y010025,
5010010-Y01,Assieme scocca grezza,1,1,Y010026,
5101210-Y01,Assieme telaio vano anteriore,1,2,Y010026,
5101170-Y01,Assieme telaio pavimento intermedio,1,3,Y010026,
5101230-Y01,Assieme telaio pavimento posteriore,1,4,Y010026,
5101130-Y01,Assieme supporto molla sospensione anteriore sinistra,1,5,Y010026,
5101140-Y01,Assieme supporto molla sospensione anteriore destra,1,6,Y010026,
5301000-Y01,Assieme parete anteriore,1,7,Y010026,
5101750-Y01,Assieme vasca sedile,1,8,Y010026,
5101940-Y01,Assieme pavimento posteriore,1,9,Y010026,
5601110-Y01,Assieme pannello esterno parete posteriore,1,10,Y010026,
5401350-Y01,Componente pannello interno montante A sinistro,1,11,Y010026,
5401360-Y01,Componente pannello interno montante A destro,1,12,Y010026,
5401230-Y01,Assieme pannello interno soglia sinistra,1,13,Y010026,
5401240-Y01,Assieme pannello interno soglia destra,1,14,Y010026,
5401030-Y01,Assieme pannello interno soglia lato sinistro,1,15,Y010026,
5401040-Y01,Assieme pannello interno soglia lato destro,1,16,Y010026,
5401010-Y01,Assieme parete laterale sinistra,1,17,Y010026,
5401020-Y01,Assieme parete laterale destra,1,18,Y010026,
5701010-Y01,Assieme copertura tetto,1,19,Y010026,
5101900-Y01,Assieme pannello accesso,1,,Y010027,
5101901-Y01,Pannello accesso,1,1,Y010027,
5101903-Y01,Guarnizione pannello accesso,1,2,Y010027,
S18606003,Bullone esagonale con flangia,4,3,Y010027,
5301813-Y01,Piastra di pressione,1,1,Y010028,
5301811-Y01,Tirante batteria,2,2,Y010028,
S32006003,Dado esagonale con flangia,2,3,Y010028,
5401170-Y01,Staffa montaggio componente trave tubolare sinistra,1,1,Y010029,
5401180-Y01,Staffa montaggio componente trave tubolare destra,1,2,Y010029,
S18606003,Bullone esagonale con flangia,8,3,Y010029,
5101273-Y01,Staffa montaggio condensatore,2,1,Y010030,
S18606003,Bullone esagonale con flangia,2,2,Y010030,
6101010-Y01,Assieme saldatura porta sinistra,1,1,Y010031,
6101020-Y01,Assieme saldatura porta destra,1,2,Y010031,
6106010-Y01,Cerniera superiore porta laterale,2,3,Y010031,
6106030-Y01,Cerniera inferiore porta laterale,2,4,Y010031,
S18608010,Bullone esagonale con flangia,16,5,Y010031,
6301710-Y01,Assieme traversa superiore telaio interno portellone,1,1,Y010032,
6301591-Y01,Piastra montaggio serratura portellone,1,2,Y010032,
6301552-Y01,Piastra montaggio tampone portellone destra,1,3,Y010032,
6301551-Y01,Piastra montaggio tampone portellone sinistra,1,4,Y010032,
6306310-Y01,Cerniera portellone,2,5,Y010032,
S32008001,Dado esagonale con flangia,4,6,Y010032,
S18408002,Bullone esagonale con flangia,4,7,Y010032,
Q2734812,Vite autofilettante testa larga semitonda a croce,6,8,Y010032,
S23006002,Vite testa cilindrica a croce con rondella elastica e rondella piana,22,9,Y010032,
5103520-Y01,Assieme staffa montaggio intermedia paraurti posteriore,1,1,Y010033,
S18608009,Bullone esagonale con flangia,2,2,Y010033,
5101263-Y01,Staffa montaggio tubo freno posteriore sinistra,1,1,Y010034,
5101264-Y01,Staffa montaggio tubo freno posteriore destra,1,2,Y010034,
S18606003,Bullone esagonale con flangia,6,3,Y010034,
5101467-Y01,Piastra montaggio interruttore power?off,1,1,Y010035,
5101216-Y01,Staffa montaggio allarme bassa velocit ,1,1,Y010036,
S18606003,Bullone esagonale con flangia,2,2,Y010036,
5301700-Y01,Assieme trave cruscotto,1,,Y010036,
5301710-Y01,Assieme corpo trave cruscotto,1,1,Y010037,
S18606003,Bullone esagonale con flangia,2,2,Y010037,
ZH2204-21,Dado lamellare tipo A,4,3,Y010037,
S18608009,Bullone esagonale con flangia,4,4,Y010037,
S32006003,Dado esagonale con flangia,2,5,Y010037,
5107000-Y01,Sistema tappi chiusura,1,,Y010038,
5107011-Y01,Tappo chiusura  10,11,1,Y010038,
5107016-Y01,Tappo chiusura  15,2,2,Y010038,
5107013-Y01,Tappo chiusura  20,16,3,Y010038,
5107015-Y01,Tappo chiusura  30,6,4,Y010038,
5107014-Y01,Tappo chiusura  40,4,5,Y010038,
5107001-Y01,Tampone portellone,2,6,Y010038,
5107003-Y01,Tampone porta laterale,6,7,Y010038,
5107017-Y01,Adesivo foro  20,2,8,Y010038,
