Part Number,Part Name,Model
3766010-Y01,Warning switch,MY23 MY22 MY22.5
3774010Y0210,Combination switch assembly,MY23
S23004001,Cross recessed pan head screw,MY23 MY22 MY22.5 MY24
3778010Y0200,Steering wheel lock,MY23 MY22.5 MY24
3781010Y0210,Shift switch,MY23 MY22.5
3782010-Y01,Adjusting switch electric rear-view mirror,MY23 MY22 MY22.5 MY24
3790020-Y01,Tailgate open switch,MY23 MY22 MY22.5 MY24
3790040Y0210,Movable door assy rear bumper,MY23 MY24
3504102Y0210,Brake switch,MY23 MY24
3504102-Y01,Brake switch,MY23 MY22 MY22.5
3736020Y0200,Power off switch shield,MY23
3790010Y0210,Lock cylinder left door,MY23
3790030-Y01,Circlip lock cylinder left door,MY23 MY22 MY22.5 MY24
3791010Y0210,Remote key casing,MY23
3791012Y0210,Key gear piece,MY23
3791001Y0210,Remote key assy,MY23 MY24
3790010Y0210-Z001,Lock cylinder  left door,MY23 MY24
4002010Y0210,Front compartment wiring harness,MY23
4002020Y0210,Roof wiring harness assembly hall version,MY23
4002030Y0210,Left door wiring harness assy (Hall version),MY23
4002040Y0210,Right door wiring harness assy (Hall version),MY23
4003010Y0210,Main wiring harness assy,MY23
4003020Y0210,Auxiliary dashboard wiring harness assy,MY23
4013010Y0200,Tailgate wiring harness assy (Hall version),MY23 MY22 MY22.5
4013020Y0210,Rear bumper harness assembly,MY23
4014010Y0210,Battery box lock wiring harness,MY23 MY24
4002011Y0210,Negative wiring harness,MY23
4002816Y0210,M8 Bonding Bolt (FT thread),MY23
3820010Y0200,Central screen (7inch),MY23
S18406001,Hexagon bolt with flange,MY23 MY24
7911010Y0205,Speaker,MY23
7925020-Y01,USB assy auxiliary dashboard,MY23 MY22 MY22.5
7925030Y0200,USB assy dashboard,MY23
3820011Y0200,Phone holder,MY23
5205010Y0200,Wiper motor,MY23 MY22.5 MY24
5205020Y0200,Wiper arm (including nozzle leather hose),MY23 MY22 MY22.5 MY24
5205030Y0200,Wiper blade,MY23 MY22 MY22.5 MY24
5205040Y0200,Front wiper nut cap,MY23 MY22 MY22.5 MY24
5207010-Y01,Washing Kettle Assembly (with Water Pipe),MY23 MY22 MY22.5
5207020Y0200,Two-way hose assy,MY23 MY22 MY22.5 MY24
8103010Y0205,Electric compressor assembly,MY23 MY22.5
S14608001,Hex bolt spring washer and plain washer assy M8 108,MY23 MY22.5
8103011Y0210,Electric compressor bracket assy,MY23
8105010Y0210,Condenser assembly,MY23 MY24
8105011Y0210,Electronic fan assembly,MY23 MY24
8107010Y0210,HVAC assembly,MY23 MY24
8108010Y0210,Compressor suction pipe (EU filler),MY23
S14606002,Hexagon bolt spring washer and plain washer assy M6 20,MY23 MY22 MY22.5 MY24
8108020Y0210,Compressor exhaust pipe,MY23
8108030Y0210,Fluid inlet pipe evaporation tank,MY23
8112010Y0210,Air conditioning control panel assembly,MY23
S27342003,Cross recessed large half round head tapping screw 4.2   13,MY23 MY22 MY22.5 MY24
5306104Y0210,Air duct central air outlet,MY23 MY24
5306030Y0210,Front defrost assembly,MY23 MY24
5306136Y0210,Left defrosting duct,MY23 MY24
5306141Y0210,Right defrosting duct,MY23 MY24
2803013-Y01,Mounting bracket front bumper-left,MY23 MY22 MY22.5
ZH2204-16,A-type reed nut,MY23 MY22 MY22.5 MY24
2803014-Y01,Mounting bracket front bumper- right,MY23 MY22 MY22.5
2803002Y0210D-KIT,Front bumper service kit,MY23 MY24
2803002Y0210D,Front bumper body,MY23
Z056,Cushion,MY23 MY22 MY22.5 MY24
8402509Y0210,Steel clip,MY23
S44003001,Mushroom head break mandrel blind rivet,MY23
S40203001,Big washer,MY23
2803009-Y01D,Front bumper lower trim panel,MY23 MY22 MY22.5 MY24
2803007-Y01D,Front bumper trim panel,MY23 MY22 MY22.5 MY24
2803003-Y01D,Front bumper central trim panel,MY23 MY22 MY22.5 MY24
2803005-Y01D,Front bumper trim strip,MY23 MY22 MY22.5 MY24
2803019-Y01,Air deflector trim panel front bumper,MY23 MY22 MY22.5
6102051-Y01,Dustproof sponge,MY23 MY22 MY22.5 MY24
2803017-Y01,Mounting plate front license plate,MY23 MY22 MY22.5
ZH2204-6,Leaf spring nut B type,MY23 MY22 MY22.5 MY24
S27348003,Cross recessed large half-round head tapping screw,MY23 MY24
2803011-Y01D,Front combination light lower trim panel-left,MY23 MY22 MY22.5 MY24
2803012-Y01D,Front combination light lower trim panel-right,MY23 MY22 MY22.5 MY24
2804201Y0210,Rear bumper hinge assy-left,MY23 MY24
2804202Y0210,Front bumper hinge assy-Right,MY23 MY24
S18408002,Hexagon head bolt with flange,MY23 MY22 MY22.5 MY24
2804508-Y01,Mounting bracket rear left bumper,MY23 MY22 MY22.5
ZH2204-11,B-type leaf spring nut- with M8 Nut,MY23 MY22 MY22.5
2804509-Y01,Mounting bracket rear right and rear left bumper,MY23 MY22 MY22.5
2804510Y0210D,Rear bumper body assembly,MY23 MY22 MY22.5
2804501Y0210D,Rear bumper body,MY23 MY22 MY22.5
2804504-Y01D,Rear bumper upper trim,MY23 MY22 MY22.5
2804505-Y01D,Rear bumper lower trim,MY23 MY22 MY22.5
Z024,Metal expansion nut,MY23 MY22 MY22.5
5107003-Y01,Side door buffer block,MY23 MY22 MY22.5 MY24
2804521Y0210D,Rear bumper sliding door welding assembly,MY23 MY24
2804901Y0210,Switching guide block,MY23 MY24
3102111-Y01,Guard panel front left wheel cowling,MY23 MY22 MY22.5
ZH830,Snap fastener (Small head),MY23 MY22 MY22.5 MY24
ZH890,Snap fastener (Big head),MY23 MY22 MY24
Q2214816,Cross recessed head self-tapping screw and plain washer assy,MY23 MY22 MY22.5
Z058,Stud fastener,MY23 MY22 MY22.5 MY24
3102112-Y01,Guard panel front right wheel cowling,MY23 MY22 MY22.5
3102113-Y01,Guard panel rear left wheel cowling,MY23 MY22 MY22.5
3102117-Y01,Side trim panel guard panel rear left wheel cowling,MY23 MY22 MY22.5
3102114-Y01,Guard panel rear right wheel cowling,MY23 MY22 MY22.5
3102118-Y01,Side trim panel guard panel rear right wheel cowling,MY23 MY22 MY22.5
5107101Y0210,Left bottom guard panel,MY23 MY22 MY22.5
5107102-Y01,Right bottom guard panel,MY23 MY22 MY22.5
5107103Y0210,Center bottom guard panel,MY23 MY22 MY22.5
5206010-Y01,Front windshield glass,MY23 MY22 MY22.5
5206030-Y01,Left roof ceiling glass,MY23 MY22 MY22.5
5206040-Y01,Right roof ceiling glass,MY23 MY22 MY22.5
6303010-Y01,Rear windshield glass,MY23 MY22 MY22.5
5603100Y0210,Rear windshield glass,MY23 MY22
5203010-Y01,Front left triangle window glass,MY23 MY22 MY22.5 MY24
5203020-Y01,Front right triangle window glass,MY23 MY22 MY22.5 MY24
6103010-Y01,Left door windshield glass,MY23 MY22 MY22.5
6103020-Y01,Right door windshield glass,MY23 MY22 MY22.5
5302020-Y01,Front wiper cover plate,MY23 MY22 MY22.5
5302003Y0210,Front flow flume body,MY23 MY22.5
5302007-Y01D,Front combo light upper trim panel - left,MY23 MY22 MY22.5
5302008-Y01D,Front combo light upper trim panel - right,MY23 MY22 MY22.5
5302011Y0210D,Cover plate front charging port,MY23 MY24
5302032Y0210,Inner plate front charging port,MY23 MY24
5302031Y0210,Front charging port base,MY23 MY24
5302033Y0210,Rotating shaft front charging port,MY23 MY24
5302035Y0210,cushionfront charging port cover,MY23
5302034Y0210,spring,MY23 MY24
5306155-Y01,Complete vehicle nameplate,MY23 MY22 MY22.5
5306156-Y01,X Logo,MY23 MY22 MY22.5 MY24
5306157-Y01,YOYO logo,MY23 MY22 MY22.5 MY24
5306010Y0220,XEV logo,MY23 MY22 MY22.5 MY24
5400100Y0210D,Trim panel assy front upper section left wall,MY23
ZH1255,D-shaped buckle,MY23 MY22 MY22.5 MY24
5400300Y0210D,Trim panel assy rear upper section left wall,MY23
5400500-Y01D,Left side small trim assembly,MY23 MY22 MY22.5
ZH680,Metal V-fastener,MY23 MY22 MY22.5 MY24
5400101-Y01D,Left rear wheel plate,MY23 MY22 MY22.5 MY24
5400771-Y01D,The lower left threshold,MY23 MY22 MY22.5
S22148002,Cross recessed head self-tapping screw and plain washer assy,MY23 MY24
5400200Y0210D,Trim panel assy front upper section right wall,MY23
5400400Y0210D,Trim panel assy rear upper section right wall,MY23
5400600-Y01D,Right side small trim assembly,MY23 MY22 MY22.5
5400201-Y01D,Right rear wheel plate,MY23 MY22 MY22.5 MY24
5400781-Y01D,Right lower threshold,MY23 MY22 MY22.5
5702020-Y01D,Roof cover assembly,MY23 MY22 MY22.5
5702018-Y01,Waterproof gasket roof,MY23
5702013-Y01,Sponge waterproof gasket roof ( W12 T8),MY23 MY22 MY22.5
6102071Y0210,Trim panel front window left door,MY23 MY24
S27342004,Cross-recessed half-round large head self-tapping screw,MY23 MY22 MY22.5 MY24
6102075Y0210D,Left door outer panel,MY23
6102052Y0210,Mounting bolt outer panel door,MY23
S23006002,Cross recessed pan head bolt with spring washer and plain washer assy,MY23 MY22 MY22.5 MY24
6102077-Y01D,Lower trim panel left door,MY23 MY22 MY22.5 MY24
5306148Y0210,Double faced adhesive tape- (W10mm T0.8mm),MY23 MY22 MY22.5 MY24
6102073Y0210D,Upper trim panel left door,MY23
6102079Y0210,Mounting plate PE Switch,MY23
6102081Y0210,Trim panel front window right door,MY23 MY24
6102076Y0210D,Right door outer panel,MY23
6102078-Y01D,Lower trim panel right door,MY23 MY22 MY22.5 MY24
6102074-Y01D,Upper trim panel right door,MY23 MY22 MY22.5
8200151Y0210,Welcome pedal-left,MY23 MY22 MY22.5 MY24
8200152Y0210,Welcome pedal-right,MY23 MY22 MY22.5 MY24
8402110Y0240D,Front hood welding assy,MY23 MY24
8402505Y0210,Front hood knob-Left,MY23 MY24
8402506Y0210,Front hood knob-Right,MY23 MY24
8402507Y0210,Front hood steel clip base,MY23 MY24
S27348004,Cross-recessed half-round large head self-tapping screw,MY23 MY22 MY22.5 MY24
8403111-Y01D,Welding assy left fender,MY23 MY22 MY22.5
8403102-Y01,Lower trim panelleft triangular window,MY23 MY22 MY22.5 MY24
8403121-Y01D,Welding assy right fender,MY23 MY22 MY22.5
8403202-Y01,Lower trim panel right triangular window,MY23 MY22 MY22.5 MY24
4121030-Y01,Front left combination light assy (Thick-walled parts of daytime running lights),MY23 MY22 MY22.5
4121040-Y01,Front right combination light assy (Thick-walled parts of daytime running lights),MY23 MY22 MY22.5
4108010Y0205,License light assembly,MY23 MY24
4123010Y0205,Ceiling light,MY23 MY24
4123020Y0205,Ceil light shield,MY23 MY24
S21405002,Cross groove pan-headed screw M5 16,MY23 MY22 MY22.5 MY24
4133010-Y01,Rear left combination light assy,MY23 MY22 MY22.5
4133020-Y01,Rear right combination light assy,MY23 MY22 MY22.5
BNJ-0270,Tail light buckle,MY23 MY24
5810010-Y01,Seat belt assembly - left,MY23 MY22 MY22.5 MY24
5810020-Y01,Seat belt assembly - right,MY23 MY22 MY22.5 MY24
5810011-Y01,Seat belt buckle-left,MY23 MY22 MY22.5 MY24
5810021-Y01,Seat belt buckle- right,MY23 MY22 MY22.5 MY24
6101710Y0210,Front guide rail assy left door,MY23 MY24
6101720Y0210,Front guide rail assy right door,MY23 MY24
6101750Y0210,Rubber coating assy rear guide rail left door,MY23 MY24
6107127Y0210,Rear mud groove left door,MY23 MY24
6101733Y0210,Mounting block of rear triangular window-Left,MY23 MY24
6101760Y0210,Rubber coating assy rear guide rail right door,MY23 MY24
6107128Y0210,Rear mud groove right door,MY23 MY24
6101734Y0210,Mounting block of rear triangular window- Right,MY23 MY24
6101901Y0205,Upper waterproof membrane assy left door,MY23 MY22 MY22.5 MY24
6101902Y0205,Upper waterproof membrane assy right door,MY23 MY22 MY22.5 MY24
6101903Y0205,Lower waterproof membrane left&right door,MY23 MY22 MY22.5 MY24
6104110Y0210,Electric window regulator assy left door,MY23
6104120Y0210,Electric window regulator assy right door,MY23
6105101Y0205,Electronic controlling lock body left door,MY23 MY24
6105103Y0205,Pull rod electronic controlling lockleft door,MY23 MY24
6105105Y0205,Pull rod electronic controlling lock cylinderleft door,MY23 MY24
6105107Y0205,Lock catch electronic controlling Lock door,MY23 MY24
6105111Y0205,Electronic controlling lock cable left door,MY23 MY24
S25808001,Cross recessed countersunk head screw and countersunk external toothed lock washer,MY23 MY24
S99006121,Cross-recessed countersunk-head screw and cone saw locking washer assy,MY23 MY24
6105102Y0205,Electronic controlling lock body right door,MY23 MY24
6105104Y0205,Pull rod electronic controlling lock right door,MY23 MY24
5606011-Y01,Electric lock system body tailgate,MY23 MY22 MY22.5
6105107-Y01,Lock catch electronic controlling lock door,MY23 MY22 MY22.5
5606032-Y01,Handle front charging port cap lock,MY23 MY22 MY22.5
5606033-Y01,Cap lock cable front charging port,MY23 MY22 MY22.5
5606034-Y01,Fastener ties ?7,MY23 MY22 MY22.5
5606410Y0210,Lock assy battery box,MY23 MY24
5606420Y0210,Locking hook assy battery box,MY23 MY24
5606600Y0210,Bobes recess flange screw with black nickel plating M6 1.0 ,MY23 MY24
6105330Y0205,Inner handle assemly-left,MY23 MY22 MY22.5 MY24
6105340Y0205,Inner handle assemly-right,MY23 MY22 MY22.5 MY24
6105510Y0205D,Outer handle assy left door,MY23 MY22 MY22.5 MY24
6105520Y0205D,Outer handle assy right door,MY23 MY22 MY22.5 MY24
6307111Y0210,Sealing strip. tailgate,MY23 MY24
6307113-Y01,Upper sealing strip tailgate,MY23 MY22 MY22.5
6307114Y0210,Upper sealing strip tailgate,MY23 MY22
6107117Y0210,Outer weather strip left door glass,MY23
6107118Y0210,Outer weather strip right door glass,MY23
6107121Y0210,Inner weather strip left door glass,MY23 MY24
6107122Y0210,Inner weather strip right door glass,MY23 MY24
