codice,descrizione,quantita,id,esploso
2912106Y0230,Left brake assy,1,6,Y02100017
2912107Y0230,Final drive assy,1,7,Y02100017
2912108Y0230,Brake connection bolt,8,8,Y02100017
2912109Y0230,Washer 10,8,9,Y02100017
2912110Y0230,Brake connection nut,8,10,Y02100017
2912111Y0230,Final drive connection nut M8,8,11,Y02100017
2912112Y0230,Washer 8,8,12,Y02100017
2912113Y0230,Breather valve,1,13,Y02100017
2912114Y0230,Drain plug assembly,1,14,Y02100017
2912115Y0230,Drain plug gasket,1,15,Y02100017
2912116Y0230,Filler plug gasket,1,16,Y02100017
2912117Y0230,Filler plug,1,17,Y02100017
S18408002,Hexagon flange bolt M8*20 Silver Dacromet T,4,18,Y02100017
S32008002,Hexagon flange nut M8 Silver Dacromet,2,19,Y02100017
2912017Y0210,E-Motor mounting bracket,1,20,Y02100017
S18408004,Hexagon flange bolt M8*30*P1.25 Silver Dacromet 8.8 class,3,21,Y02100017
2912118Y0230,Left brake shoe assembly,1,22,Y02100017
2912119Y0230,Right brake shoe assembly,1,23,Y02100017
2101020Y0210,Power battery module,3,1,Y02100018
2101024Y0210,Module cover plate 1,1,2,Y02100018
2101025Y0210,Module cover plate 2,1,3,Y02100018
2101026Y0210,Fixing plate wiring harness,1,4,Y02100018
2101037Y0210,Handle battery pack,1,5,Y02100018
2101038Y0210,Fixing sheet metal handle,2,6,Y02100018
2101039Y0210,Y02 heating film,1,7,Y02100018
2101040Y0210,Seal ring,3,8,Y02100018
2101041Y0210,Flexible connection positive terminal,1,9,Y02100018
2101042Y0210,Flexible connection negative terminal,1,10,Y02100018
2101043Y0210,Switching hard copper bar negative terminal,1,11,Y02100018
2101011Y0210,BSU-SINOEV,1,12,Y02100018
2101049Y0210-Z001,Quick wiring harness assy,1,13,Y02100018
2101044Y0210,Bottom hole 3.7 plastic rivets BNJ-0005B,25,14,Y02100018
2101045Y0210,Model: VV-P124-00-KS1 breather valve,1,15,Y02100018
2101055Y0210,M6*12 Outer hexagon Dacromet bolts with flange (with  nylon adhesive),3,16,Y02100018
2101056Y0210,M5*30 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,4,17,Y02100018
2101057Y0210,Prevailing torque type hexagon Dacromet nuts with flange (non-metallic insert),2,18,Y02100018
2101058Y0210,M4*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,4,19,Y02100018
2101060Y0210,M4*20 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,42,20,Y02100018
2101061Y0210,M3*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,14,21,Y02100018
2101064Y0210,M4*10 Countersunk socket head flat head screw black dacromet,4,22,Y02100018
2101046Y0210,BNJ-0181 Rivet tie 5.5 hole,2,23,Y02100018
2101054Y0210,High-voltage warning sign,1,24,Y02100018
2103010Y0250,Drive motor,1,1,Y02100019
2103020Y0240,Motor three-phase wire harness bracket,1,2,Y02100019
S18408004,Hexagon flange bolt M8*30*P1.25 Silver Dacromet 8.8 class,3,3,Y02100019
4002616Y0210,M6 Bonding Bolt (FT thread),1,4,Y02100019
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,2,5,Y02100019
2108010Y0250,VCU assembly,1,1,Y02100020
S32006003,Hexagon flange nut M6*P1 Black Zinc-nickel grade 8,4,2,Y02100020
2142010Y0210,Motor controller body,1,1,Y02100021
S18408004,Hexagon flange bolt M8*30*P1.25 Silver Dacromet 8.8 class,8,2,Y02100021
4002616Y0210,M6 Bonding Bolt (FT thread),1,3,Y02100021
2105010Y0210,Positive wiring harness motor controller,1,1,Y02100022
2105020Y0210,Negative wiring harness motor controller,1,2,Y02100022
2105040Y0230,PTC& Compressor conversion cable,1,3,Y02100022
2105050Y0230,High voltage wiring harness auxiliary system,1,4,Y02100022
2105020Y0230,High voltage switching harness auxiliary system,1,5,Y02100022
2105060-Y01,Dual-head hoop line card(19mm),1,6,Y02100022
S32006003,Hexagon flange nut M6*P1 Black Zinc-nickel grade 8,1,7,Y02100022
2107020Y0230,Charging socket (EN),1,1,Y02100023
2107030-Y01,EV Charger (EN),1,2,Y02100023
2107060Y0230,Three-in-one assembly,1,3,Y02100023
2107061Y0230,Three-in-one upper left bracket,1,4,Y02100023
2107062Y0230,Three-in-one lower bracket,1,5,Y02100023
2107063Y0230,Three-in-one upper right bracket,1,6,Y02100023
4002616Y0210,M6 Bonding Bolt (FT thread),1,7,Y02100023
S18406004,Hexagon flange bolt M6*16*P1 Black zinc 8.8 grade,6,8,Y02100023
S18608003,Hexagon flange bolt M8*20 Silver Dacromet T,4,9,Y02100023
S32008002,Hexagon flange nut M8 Silver Dacromet,1,10,Y02100023
S18608009,Hexagon flange bolt M8*16*P1.25 Silver Dacromet 8.8 class,1,11,Y02100023
2107050-Y01,Charger bag,1,12,Y02100023
2107064Y0230,63A fuse,2,13,Y02100023
2107040-Y01,Double-head charger (EN),1,14,Y02100023
Z2101100Y0230,Power Battery Box device,1,1,Y02100024
Z2101100Y0280,Power Battery Box device,1,1,Y02100025
2101013Y0210,Anti-friction bushing,6,1,Y02100026
210101B-Y01,Battery box fast-plug,3,2,Y02100026
210101AY0230,Battery negative wiring harness,1,3,Y02100026
2101019Y0230,Battery positive wiring harness,1,4,Y02100026
210101H-Y01,Battery module connecting line,2,5,Y02100026
210101CY0210,Battery box communication wiring harness,1,6,Y02100026
210101DY0230,The positive and negative battery wires pass through the hole rubber plug,2,7,Y02100026
Z2109100Y0230,High voltage box assembly,1,1,Y02100027
2101012Y0210,High voltage acquisition box,1,1,Y02100028
2101054Y0210,High-voltage warning sign,1,2,Y02100028
2109010Y0230B,High voltage box,1,3,Y02100028
2101518Y0240,Shunt,1,4,Y02100028
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,4,5,Y02100028
2109011Y0250,High-voltage box casing assy,1,6,Y02100028
2109015Y0250,150A relay,1,7,Y02100028
2109017-Y01,20A relay,2,8,Y02100028
2109018Y0250,300A slow-blow fuse,1,9,Y02100028
2101515Y0240,Heating fuse,1,10,Y02100028
2109112Y0250,25?60W precharged resistor,1,11,Y02100028
2109113Y0250,Communications wiring harness high-voltage box,1,12,Y02100028
3601010Y0240,Body control module,1,1,Y02100029
3601030Y0210,start antenna,1,2,Y02100029
3704010Y0210,Passive start switch,1,3,Y02100029
3791020Y0210,PE switch (with antenna),1,4,Y02100029
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,3,5,Y02100029
S27348004,Cross recessed large half round head tapping screw ST4.8*13 black zinc-nickel,2,6,Y02100029
3721010Y0240,High pitch horn,1,1,Y02100030
3774010Y0230,Combination switch assembly,1,2,Y02100030
S23004001,Cross recessed pan head screw and flat washer assembly M4*10*P0.7 Color zinc 4.8 grade,2,3,Y02100030
3782010-Y01,Adjusting switch electric rear-view mirror,1,4,Y02100030
S27342003,Cross recessed large semi-round head self-tapping screw ST4.2*13 black zinc-nickel,4,5,Y02100030
3504102Y0210,Brake switch,1,6,Y02100030
3778010Y0200,Steering wheel lock,1,7,Y02100030
3781010Y0250,Shift switch,1,8,Y02100030
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,1,9,Y02100030
3790020-Y01,Tailgate open switch,1,10,Y02100030
3766010Y0230,Warning switch,1,11,Y02100030
3746010Y0240,Windows regulator control switch,2,12,Y02100030
3790040Y0210,Movable door assy rear bumper,1,13,Y02100030
3774020Y0230,Clock spring assembly,1,14,Y02100030
3790010Y0210-Z001,Left door lock core with mechanical key assembly,1,1,Y02100031
3790030-Y01,Circlip lock cylinder left door,1,2,Y02100031
3791001Y0210,Remote key assembly,1,3,Y02100031
4002010Y0230,Front compartment wiring harness assy,1,1,Y02100032
4002020Y0230,Roof wiring harness assy,1,2,Y02100032
4002030Y0240,Left door wiring harness assy,1,3,Y02100032
4002040Y0240,Right door wiring harness assy,1,4,Y02100032
4003010Y0230,Main wiring harness assy,1,5,Y02100032
S18606002,Hexagon flange face bolt M6*20 black Dacromet,2,6,Y02100032
S27348002,Cross recessed large semi-round head tapping screws ST4.8*16 black zinc,2,7,Y02100032
S18406001,Hexagonal flange bolts M6*12*P1 Black Dacromet 8.8 class,2,8,Y02100032
4002200Y0230,Right body wiring harness assy,1,9,Y02100032
4003020Y0230,Auxiliary dashboard wiring harness assy,1,10,Y02100032
4013010Y0250,Tailgate wiring harness assy,1,11,Y02100032
4013020Y0250,Rear bumper harness assy,1,12,Y02100032
4002616Y0210,M6 Bonding Bolt (FT thread),11,13,Y02100032
4003011Y0210,Bracket main wiring harness,1,14,Y02100032
S14606121,Hexagon head bolt spring washer and flat washer assembly M6*12*P1 Silver Dacromet 8.8,1,15,Y02100032
4014010Y0210,Battery box lock wiring harness,1,16,Y02100032
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,2,17,Y02100032
5205010Y0200,Wiper motor,1,1,Y02100033
5205020Y0200,Wiper arm (including nozzle leather hose),1,2,Y02100033
5205030Y0200,Wiper blade,1,3,Y02100033
5205040Y0200,Front wiper nut cap,1,4,Y02100033
5207030Y0240,Washing hose,1,5,Y02100033
5207010Y0240,Washing Kettle Assembly,1,6,Y02100033
5207020Y0200,Two-way hose assy,1,7,Y02100033
5207020Y0240,Dust cap for filling port of washing kettle,1,8,Y02100033
S99006201,Hexagon head bolt spring washer and large flat washer assembly M6*20*P1 Black Dacromet 8.8,2,9,Y02100033
S32006003,Hexagon flange nut M6*P1 Black Zinc-nickel grade 8,5,10,Y02100033
3820050Y0205,Steering wheel switch,1,1,Y02100034
3820010Y0205,GPS antenna and radio antenna assembly,1,2,Y02100034
7911010Y0241,Speaker,2,3,Y02100034
3820021Y0205,Host machine,1,4,Y02100034
3820022Y0205,Liquid crystal screen,1,5,Y02100034
7925020Y0240,USB assy auxiliary dashboard,1,6,Y02100034
7925030Y0240,USB assy Instrument panel,1,7,Y02100034
S18406001,Hexagonal flange bolts M6*12*P1 Black Dacromet 8.8 class,2,8,Y02100034
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,4,9,Y02100034
S27348002,Cross recessed large semi-round head tapping screws ST4.8*16 black zinc,4,10,Y02100034
3820010Y0230,Radio and navigation antenna assembly,1,11,Y02100034
3820011Y0230,Antenna mounting bracket,1,12,Y02100034
8103010Y0230,Electric compressor assembly,1,1,Y02100035
4002616Y0210,M6 Bonding Bolt (FT thread),1,2,Y02100035
8103011Y0230,Electric compressor bracket assy,2,3,Y02100035
8105010Y0210,Condenser assembly,1,4,Y02100035
8105011Y0210,Electronic fan assembly,1,5,Y02100035
8108020Y0230,Compressor exhaust pipe,1,6,Y02100035
8108040Y0230,Refrigeration line assembly,1,7,Y02100035
5306153Y0210,Specification label condenser fan,1,8,Y02100035
5306154Y0230,Refrigerant label air conditioning,1,9,Y02100035
S32008002,Hexagon flange nut M8 Silver Dacromet,6,10,Y02100035
S18608007,Hexagon flange face bolt M8*150 silver Dacromet,2,11,Y02100035
S14606004,Hexagon head bolt spring washer and flat washer assembly M6*35 silver Dacromet,4,12,Y02100035
S14606003,Hexagon head bolt spring washer and flat washer assembly M6*25 silver Dacromet,4,13,Y02100035
S14606002,Hexagon head bolt spring washer and flat washer assembly M6*20 silver Dacromet,2,14,Y02100035
8107010Y0210,HVAC assembly,1,1,Y02100036
8112010Y0240,Air conditioning control panel assembly,1,2,Y02100036
5306104Y0210,Air duct central air outlet,1,3,Y02100036
5306030Y0210,Front defrost assembly,1,4,Y02100036
5306136Y0210,Left defrosting duct,1,5,Y02100036
5306141Y0210,Right defrosting duct,1,6,Y02100036
S27342003,Cross recessed large semi-round head self-tapping screw ST4.2*13 black zinc-nickel,2,7,Y02100036
S27348002,Cross recessed large semi-round head tapping screws ST4.8*16 black zinc,16,8,Y02100036
S32008002,Hexagon flange nut M8 Silver Dacromet,5,9,Y02100036
7925040Y0210,T-BOX,1,1,Y02100037
S32006003,Hexagon flange nut M6*P1 Black Zinc-nickel grade 8,3,2,Y02100037
7925041Y0210,GPS+4G antenna,1,3,Y02100037
3703010Y0230,12V Battery,1,1,Y02100038
S18606002,Hexagon flange face bolt M6*20 black Dacromet,4,2,Y02100038
6301711Y0240,Back door hinges reinforce plate left assembly,1,1,Y02100039
6301713Y0240,Back door hinges reinforce plate right assembly,1,2,Y02100039
6301591Y0240,Taildoor lock mounting bracket assembly,1,3,Y02100039
5101571Y0240,Torque beam mounting bracket assembly,1,4,Y02100039
S18510001,Hexagon flange bolts M10*25 Silver Dacromet T,5,5,Y02100039
5101272Y0240,Upper mounting bracket condenser,2,6,Y02100039
S18408006,Hexagon flange bolt M8*12*P1.25 Black Dacromet 8.8 class,2,7,Y02100039
5101191Y0210,Component MCU mounting bracket II,1,8,Y02100039
5101187Y0210,Component MCU mounting bracket I,1,9,Y02100039
S18608201,Hexagon flange bolt with guide M8*20*P1.25 Silver Dacromet 8.8 class,2,10,Y02100039
5133832Y0280,Rear bumper mounting bracket ?,1,11,Y02100039
5101850-Y01,Front suspension spring reinforced beam outer plate assembly - left,1,1,Y02100040
5101860-Y01,Front suspension spring strengthens beam outer plate assembly - right,1,2,Y02100040
5401170-Y01,Mount bracket assembly on left tube beam,1,3,Y02100040
5401180-Y01,Mount bracket assembly on right tube beam,1,4,Y02100040
6101100Y0210,Front left door assy,1,5,Y02100040
6106010Y0210,Upper hinge side door,2,6,Y02100040
6106030Y0210,Lower hinge side door,2,7,Y02100040
S18608010,Hexagon flange bolt M8*25*P1.25 Silver Dacromet 10.9 class,16,8,Y02100040
6101200Y0210,Front right door assy,1,9,Y02100040
S18606003,Hexagon flange bolts M6*16*P1 Black Dacromet 8.8 class,12,10,Y02100040
5133834Y0280,Rear bumper mounting bracket ?,2,11,Y02100040
5701090-Y01,Top stringer assembly,1,1,Y02100041
5701011-Y01,Cover the front cross beam on the cover,1,2,Y02100041
5701030-Y01,Roof front beam lower plate assembly,1,3,Y02100041
5701020Y0240,Top cover rear beam assembly,1,4,Y02100041
5601112Y0280,Top cover rear beam assembly,1,5,Y02100041
5401030-Y01,Inner panel assy doorsill left side wall,1,1,Y02100042
5401230-Y01,Inner panel assy left doorsill,1,2,Y02100042
5401111-Y01,Left side outer panel,1,3,Y02100042
5401110-Y01,Rear bumper mounting bracket assembly- left,1,4,Y02100042
5401150-Y01,Left side surrounding rear flow sink assembly,1,5,Y02100042
5101551-Y01,Integrated mounting bracket,1,6,Y02100042
5401810-Y01,Door latch mounting plate assembly left,1,7,Y02100042
5401301-Y01,Left pillar A reinforcing plate,1,8,Y02100042
5401303-Y01,Left pillar A strengthens the upper plate segment,1,9,Y02100042
5401310-Y01,Upper left hinge reinforced plate assembly,1,10,Y02100042
5401330-Y01,Left lower hinge reinforced plate assembly,1,11,Y02100042
5401313Y0230,Headlight bracket ? - left assembly,1,12,Y02100042
5401011-Y01,Left roof front beam connecting plate,1,13,Y02100042
5401015-Y01,Left top side beam inner plate,1,14,Y02100042
5401017-Y01,Left posterior medial segment,1,15,Y02100042
5401710Y0240,Upper section assy left side inner panel around rear,1,16,Y02100042
5701037Y0240,Rear hinge reinforcing plate left,1,17,Y02100042
5401713Y0240,Seat belt nut plate assembly,1,18,Y02100042
5401350-Y01,Inner panel component left A-pillar,1,19,Y02100042
5401040-Y01,Inner panel assy doorsill right side wall,1,1,Y02100043
5401240Y0230,Inner panel assy right doorsill,1,2,Y02100043
5401112-Y01,Right side outer panel,1,3,Y02100043
5101551-Y01,Integrated mounting bracket,1,4,Y02100043
5401120-Y01,Rear bumper mounting bracket assembly- right,1,5,Y02100043
5401160-Y01,Right side surrounding rear flow sink assembly,1,6,Y02100043
5401820-Y01,Right door latch mounting plate assembly,1,7,Y02100043
5401302-Y01,Right A-pillar reinforced plate,1,8,Y02100043
5401304-Y01,Right pillar A strengthens the upper plate segment,1,9,Y02100043
5401320-Y01,Right upper hinge reinforcing plate assembly,1,10,Y02100043
5401340-Y01,Lower right hinge reinforcing plate assembly,1,11,Y02100043
5401413Y0230,Headlight bracket ? - right assembly,1,12,Y02100043
5401012-Y01,Right top front beam connecting plate,1,13,Y02100043
5401016-Y01,Right top side beam inner plate,1,14,Y02100043
5401018-Y01,Right side surrounding inferior posterior inner plate,1,15,Y02100043
5401810Y0240,Upper panel assembly right side perimeter back inner panel,1,16,Y02100043
5701038Y0240,Rear hinge reinforced plate right,1,17,Y02100043
5401713Y0240,Seat belt nut plate assembly,1,18,Y02100043
5401360-Y01,Inner panel component right A-pillar,1,19,Y02100043
5130158Y0240,Battery bottom skeleton beam ? - left,1,1,Y02100044
5130258Y0240,Battery bottom skeleton beam ? - right,1,2,Y02100044
5101790Y0230,Middle floor lower beam assy ?,1,3,Y02100044
5301037-Y01,Mounting bracket assembly on the lower right of the front wall,1,4,Y02100044
5101503-Y01,Rear repair cover plate support plate,1,5,Y02100044
5101803-Y01,Rear floor seal - Left,1,6,Y02100044
5101804-Y01,Back floor seal - Right,1,7,Y02100044
5601130-Y01,Rear inner panel assembly,1,8,Y02100044
5101950Y0230,Center floor seal assembly - left,1,9,Y02100044
5101960Y0230,Middle floor seal assembly - right,1,10,Y02100044
5101801-Y01,Seat back sealing plate,1,11,Y02100044
5101751-Y01,Bucket body,1,12,Y02100044
5101753-Y01,Bucket seal plate - left,1,13,Y02100044
5101745Y0230,Bucket seal plate - right assembly,1,14,Y02100044
5102630-Y01,Seat reinforced front beam assembly,1,15,Y02100044
5102620Y0250,Seat reinforcement rear beam assembly,1,16,Y02100044
5101331Y0230,Auxiliary dashboard mounting front bracket assembly,1,17,Y02100044
5101341Y0230,Auxiliary dashboard mounting rear bracket assembly,1,18,Y02100044
5101759Y0230,Handbrake mounting bracket assembly,1,19,Y02100044
5130100Y0250,Rear left stringer assembly,1,1,Y02100045
5130200Y0250,Rear right stringer assembly,1,2,Y02100045
5130710Y0240,Rear floor skeleton beam ? assembly,1,3,Y02100045
5130301Y0240,Rear floor skeleton stringer ? - left assembly,1,4,Y02100045
5130401Y0240,Rear floor skeleton stringer ? - right assembly,1,5,Y02100045
5130156Y0240,Rear left floor frame stringer ? patch plate,1,6,Y02100045
5130256Y0240,Rear right floor frame stringer ? patch,1,7,Y02100045
5301120Y0210,Accelerator pedal mounting bracket assembly,1,8,Y02100045
5301400-Y01,Front wheel cover - right assembly,1,9,Y02100045
5301300-Y01,Front wheel cover - left assembly,1,10,Y02100045
5101739Y0210,Steering column mounting base,1,11,Y02100045
5101731-Y01,Middle floor body,1,12,Y02100045
5101480Y0240,Front outer plate assembly Front right stringer,1,1,Y02100046
5101490Y0240,Front outer plate assembly Front left stringer,1,2,Y02100046
5101573-Y01,Front suspension spring strengthens inner beam plate - left,1,3,Y02100046
5101311-Y01,Front suspension spring support upper plate - left,1,4,Y02100046
