codice,descrizione,quantita,id,esploso,
Q218B0810,Hexagon socket head cap screws,8,39,Y02100004,
2906108Y0210,Φ12 large gasket,1,40,Y02100004,
3100100-Y01,14 steel wheel assy,4,1,Y02100005,
3100110-Y01,15 aluminum wheel assy,,,Y02100005,
3100101-Y01,Tire (155/65-R14),4,2,Y02100005,
3100111-Y01,Tire  (155/60-R15),,,Y02100005,
3100106-Y01,14 steel wheel,4,3,Y02100005,
3100105-Y01,15 aluminum wheel (light color),,,Y02100005,
3100102-Y01,Inflating valve,1,4,Y02100005,
3100113-Y01,Inflating valve (aluminum wheel),,,Y02100005,
3106107Y0240,Wheel nut (steel wheel),16,5,Y02100005,
3106106Y0240,Wheel nut (aluminum wheel),,,Y02100005,
5306163Y0210,Tire label - 14 ,1,6,Y02100005,
5306164Y0210,Tire label - 15 ,,,Y02100005,
3100104-Y01,Trim cap of wheel rim,4,7,Y02100005,
3100120-Y01,Steel wheel rim trim cap assy,4,8,Y02100005,
3400000-Y01,Steering  system ,,,Y02100006,
3400186Y0210,Zero calibration tool,,,Y02100006,
3400101-Y01,Steering gear with tie rod assembly,1,1,Y02100006,
3400101Y0210A,Steering gear with tie rod assembly,1,1,Y02100006,
3400101Y0210B,Steering gear with tie rod assembly,1,1,Y02100006,
3400111-Y01,Steering gear body with inner tie rod,1,2,Y02100006,
3400118-Y01,Buckle bracket,1,3,Y02100006,
3400113-Y01,Steering wheel ball head,2,4,Y02100006,
3400102-Y01,Steering lower shaft assy,1,5,Y02100006,
3400102Y0210,Steering lower shaft assy,1,5,Y02100006,
3400103-Y01,Steering column assembly,1,6,Y02100006,
3400103Y0210,Steering column assembly,1,6,Y02100006,
3400134-Y01,Steering wheel body,1,7,Y02100006,
S18608009,Hexagon bolt with flange,2,8,Y02100006,
S18608005,Hexagon bolt with flange,1,9,Y02100006,
S32008002,Hexagon nut with flange,1,10,Y02100006,
Q1860870TF36Y,Hexagon nut with flange,1,10,Y02100006,
S38312001,Hexagon slotted nuts style 2,2,11,Y02100006,
S50032001,Split pin,2,12,Y02100006,
S18608009,Hexagon bolt with flange,2,13,Y02100006,
S18510004,Hexagon bolt with flange,2,14,Y02100006,
S18512002,Hexagon bolt with flange,2,13,Y02100006,
3400135-Y01,Horn hood,1,15,Y02100006,
3400123-Y01,Mechanical steering column,1,16,Y02100006,
3400124-Y01,Universal joint steering column ,1,17,Y02100006,
3400125-Y01,Prevailing torque type all-metal hexagon nuts with flange,1,18,Y02100006,
3400126-Y01,Hexagon head bolt,3,19,Y02100006,
3400132-Y01,Steering lower axle,1,20,Y02100006,
3400108-Y01,Lower shaft shield steering column,1,21,Y02100006,
3400108Y0210,Lower shaft shield steering column,1,21,Y02100006,
3400104-Y01,Steering wheel assembly,1,22,Y02100006,
3400106-Y01,Electric power steering column (EPS),1,23,Y02100006,
3400106Y0210,Electric power steering column (EPS),1,23,Y02100006,
4003018Y0210LS,EPS Adapter Harness,1,,Y02100006,
3400141-Y01,Prevailing torque type all-metal hexagon nuts with flange,1,24,Y02100006,
3400142-Y01,Universal joint steering column,1,25,Y02100006,
3400143-Y01,Hexagon head bolt,2,26,Y02100006,
3400144-Y01,Controller bracket,1,27,Y02100006,
3400145-Y01,Controller,1,28,Y02100006,
Q146B0612,Hexagon head bolt spring washer and plain washer assy,2,29,Y02100006,
3400146-Y01,Motor,1,30,Y02100006,
3400147-Y01,Hexagon bolt with flange,2,31,Y02100006,
3400148-Y01,Electric steering column body,1,32,Y02100006,
S18606003,Hexagon bolt with flange,2,33,Y02100006,
3508101-Y01,Parking pedal,1,1,Y02100007,
S32008001,hexagon nut with flange,3,2,Y02100007,
3508102Y0210,Front section parking cable,1,3,Y02100007,
3508103Y0210,Left parking cable,1,4,Y02100007,
3508104Y0210,Right parking cable,1,5,Y02100007,
3506048Y0210,Spring retainer ring parking wire-drawing,1,6,Y02100007,
S50108001,Locking pin,1,7,Y02100007,
S18406003,Hexagon bolt with flange,3,8,Y02100007,
3540103Y0211,Electronic vacuum pump,1,1,Y02100008,
3540104Y0211,Vent hose electronic vacuum pump,1,2,Y02100008,
Q402B06,gasket,2,3,Y02100008,
3540102Y0211,vacuum tank,1,4,Y02100008,
3540108Y0211,Vacuum tank bracket,1,5,Y02100008,
Q1840645,Hexagon bolt with flange,4,6,Y02100008,
3540106Y0210,Vacuum sensor,1,7,Y02100008,
3540105Y0210,vacuum hose,1,8,Y02100008,
3540101Y0210,Vacuum booster,1,1,Y02100009,
S51008001,Axis pin,1,2,Y02100009,
S50108001,Locking pin,1,3,Y02100009,
3504101Y0205,Brake pedal assy,1,4,Y02100009,
S32008001,hexagon nut with flange,4,5,Y02100009,
Q1840820,Hexagon bolt with flange,2,6,Y02100009,
3506101Y0210,Master cylinder to ABS pipe (1st chamber),1,7,Y02100009,
3506102Y0210,Master cylinder to ABS pipe (2nd chamber),1,8,Y02100009,
3506109Y0210,Front left brake pipe,1,9,Y02100009,
3506111Y0210,Front right brake pipe,1,10,Y02100009,
3506115Y0210,Front section rear left brake pipe,1,11,Y02100009,
3506114Y0210,Front section rear right brake pipe,1,12,Y02100009,
3506122Y0210,Rear section rear left brake pipe,1,13,Y02100009,
3506121Y0210,Rear section rear right brake pipe,1,14,Y02100009,
3506113Y0210,Double-hole pipe clip,4,15,Y02100009,
3506116Y0210,Single hole pipe clip,4,16,Y02100009,
3550300-Y01,Front wheel speed sensor,2,17,Y02100009,
3550302-Y01,Front wheel speed sensor bracket,2,18,Y02100009,
S18608009,Hexagon bolt with flange,4,19,Y02100009,
S18606003,Hexagon bolt with flange,2,20,Y02100009,
S32006003,hexagon nut with flange,2,21,Y02100009,
3550400-Y01,Rear wheel speed sensor,2,22,Y02100009,
S18606003,Hexagon bolt with flange,2,23,Y02100009,
3506104Y0210,Front brake hose,2,24,Y02100009,
3506112Y0210,rear brake hose,2,25,Y02100009,
3506106Y0210,Punched bolts,4,26,Y02100009,
3506107Y0210,Sealing washer,8,27,Y02100009,
3506105Y0210,Spring retainer ring brake hose,4,28,Y02100009,
3550101-Y01,ABS controller,1,29,Y02100009,
3550111-Y01,Mounting sleeve ABS controller,1,30,Y02100009,
3926010-Y01,Warning triangles,1,1,Y02100010,
3926020-Y01,Reflective vest,1,2,Y02100010,
2101000Y0210,Power Battery Assy,,,Y02100011,
2101020Y0210,Power battery module,3,3,Y02100011,
2101024Y0210,Module cover plate 1,1,3-1,Y02100011,
2101025Y0210,Module cover plate 2,1,3-2,Y02100011,
2101026Y0210,Fixing plate wiring harness,1,3-3,Y02100011,
2101037Y0210,Handle battery pack,1,3-4,Y02100011,
2101038Y0210,Fixing sheet metal handle,2,3-5,Y02100011,
2101039Y0210,Y02 heating film,1,3-6,Y02100011,
2101040Y0210,Seal ring,3,3-7,Y02100011,
2101041Y0210,Flexible connection positive terminal,1,3-8,Y02100011,
2101042Y0210,Flexible connection negative terminal,1,3-9,Y02100011,
2101043Y0210,Switching hard copper bar negative terminal,1,3-10,Y02100011,
2101011Y0210,BSU,1,3-11,Y02100011,
2101049Y0210-Z001,Quick wiring harness assy,1,3-12,Y02100011,
2101044Y0210,Bottom hole 3.7 plastic rivets BNJ-0005B,5,3-13,Y02100011,
2101045Y0210,Model: VV-P124-00-KS1 breather valve,1,3-14,Y02100011,
2101055Y0210,M6*12 Outer hexagon Dacromet bolts with flange (with  nylon adhesive),3,3-15,Y02100011,
2101056Y0210,M5*30 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,4,3-16,Y02100011,
2101057Y0210,Prevailing torque type hexagon Dacromet nuts with flange (n-metallic insert),2,3-17,Y02100011,
2101058Y0210,M4*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,4,3-18,Y02100011,
2101060Y0210,M4*20 Outer hexagon Dacromet bolts single coil lock washer and plain washer assemblies,42,3-19,Y02100011,
2101061Y0210,M3*10 Hexagon socket button head Dacromet bolt single coil lock washer and plain washer assemblies,4,3-20,Y02100011,
2101064Y0210,M4*10 Countersunk socket head flat head screw black dacromet,4,3-21,Y02100011,
2101046Y0210,BNJ-0181 Rivet tie 5.5 hole,2,3-22,Y02100011,
2103010Y0210,Drive motor,1,1,Y02100012,
S18408004,Hexagon bolt with flange,3,2,Y02100012,
4002616Y0210,M6 Bonding Bolt (FT thread),1,3,Y02100012,
2103020Y0210,Phase line pressing plate,1,4,Y02100012,
S14606004,Hexagon head bolt spring washer and plain washer assy,2,5,Y02100012,
S32006002,Hexagon nut with flange,2,6,Y02100012,
S18406003,Hexagon bolt with flange,1,,Y02100012,
2103030Y0210,Grounding wire,1,7,Y02100012,
2108010Y0210,Vehicle control unit (VBU),1,1,Y02100013,
S32006002,Hexagon nut with flange,4,2,Y02100013,
2142010Y0210,Motor controller,1,1,Y02100014,
S18408004,Hexagon bolt with flange,4,2,Y02100014,
4002616Y0210,M6 Bonding Bolt (FT thread),1,3,Y02100014,
2142040Y0210,MCU grounding wire,1,4,Y02100014,
7925040-Y01,T-BOX (4G),1,1,Y02100015,
7925040Y0210,T-BOX (4G),1,1,Y02100015,
7925041Y0210,GPS+4G antenna,1,,Y02100015,
S32006003,hexagon nut with flange,2,2,Y02100015,
2101100Y0210-Z002,Power Battery Box device,1,1,Y02100016,
2101019Y0210,Battery positive wire harness,1,2,Y02100016,
210101AY0210,Battery negative wiring harness,1,3,Y02100016,
210101CY0210,Battery box communication wiring harness,1,4,Y02100016,
210101H-Y01,Module connecting line,2,5,Y02100016,
210101B-Y01,Battery box fast-plug,3,6,Y02100016,
2101013Y0210,Anti-friction bushing,6,7,Y02100016,
2109100Y0210-Z001,High voltage box,1,,Y02100017,
2109010Y0210,High-voltage box assy,1,1,Y02100017,
2109011Y0210,High-voltage box casing assy,1,2,Y02100017,
2109015Y0210,150A relay,1,3,Y02100017,
2109016Y0210,60A relay,1,4,Y02100017,
2109017-Y01,20A relay,3,5,Y02100017,
2109211Y0210,40A relay,1,6,Y02100017,
2109018-Y01,300A slow-blow fuse,1,7,Y02100017,
2109111-Y01,20A slow-blow fuse,1,8,Y02100017,
2109112-Y01,75Ω 100W precharge resistence,1,9,Y02100017,
2109113Y0210,Communications wiring harness high-voltage box,1,10,Y02100017,
2109119-Y01,50A slow-blow fuse,2,11,Y02100017,
S14606005,Hexagon bolt spring washer and plain washer assy M6 16,4,12,Y02100017,
2101054Y0210,High-voltage warning sign,1,13,Y02100017,
2109119Y0205,Splitter,1,14,Y02100017,
2101012Y0210,High voltage acquisition box,1,15,Y02100017,
2105010Y0210,Positive wiring harness motor controller,1,1,Y02100018,
2105020Y0210,Negative wiring harness motor controller,1,2,Y02100018,
2105030Y0210,High voltage wiring harness auxiliary system,1,3,Y02100018,
S32006003,hexagon nut with flange,1,4,Y02100018,
2105060-Y01,Dual-head hoop line card(19mm),4,5,Y02100018,
S32006003,hexagon nut with flange,4,6,Y02100018,
2105050Y0210,Change-over wiring harness power-off switch,1,7,Y02100018,
2107060Y0200,OBC and DCDC two-in-one assy,1,1,Y02100019,
S18408006,Hexagon bolt with flange,1,2,Y02100019,
S18608002,Hexagon bolt with flange,2,3,Y02100019,
S32008002,Hexagon nut with flange,2,4,Y02100019,
2107070Y0200,Connecting bracket OBC and DCDC two-in-one assy,1,5,Y02100019,
S18608002,Hexagon bolt with flange,2,6,Y02100019,
2107020Y0210,Charging socket (EN),1,7,Y02100019,
S18606003,Hexagon bolt with flange,4,8,Y02100019,
2107030-Y01,EV Charger (EN),1,9,Y02100019,
2107040-Y01,Double-head charger (EN),1,10,Y02100019,
2107050-Y01,Charging gun bag,1,11,Y02100019,
3601010Y0210,Body control module(BCM),1,1,Y02100020,
3601010Y0210A,Body control module(BCM),1,,Y02100020,
Q1860620,Hexagon bolt with flange,3,2,Y02100020,
3704010Y0210,Passive start switch,1,3,Y02100020,
3791020Y0210,PE switch (with antenna),1,4,Y02100020,
3601030Y0210,start antenna,1,5,Y02100020,
S27348002,Cross recessed large round head tapping screw 4.8 16,2,6,Y02100020,
ZH1210,Plastic nut seat,2,7,Y02100020,
3791011Y0210,Remote controln chip,2,8,Y02100020,
3703010-Y01,12V Battery,1,1,Y02100021,
3721010Y0210,High pitch horn,1,2,Y02100021,
S14606004,Hexagon head bolt spring washer and plain washer assy,1,3,Y02100021,
S32006002,Hexagon nut with flange,1,4,Y02100021,
3721020Y0210,low speed alarm (AVAS),1,5,Y02100021,
S14606003,Hexagon bolt spring washer and plain washer assy,1,6,Y02100021,
3736010-Y01,Power off switch,1,7,Y02100021,
3736011-Y01,Power-off switch shield,1,8,Y02100021,
S14606005,Hexagon bolt spring washer and plain washer assy M6 16,2,9,Y02100021,
3746010-Y01,Windows regulator control switch,2,10,Y02100021,
3766010-Y01,Warning switch,1,11,Y02100021,
3774010Y0210,Combination switch assembly,1,12,Y02100021,
S23004001,Cross recessed pan head screw,2,13,Y02100021,
3778010Y0200,Steering wheel lock,1,14,Y02100021,
3781010Y0210,Shift switch,1,15,Y02100021,
3782010-Y01,Adjusting switch electric rear-view mirror,1,16,Y02100021,
3790020-Y01,Tailgate open switch,1,17,Y02100021,
3790040Y0210,Movable door assy rear bumper,1,17,Y02100021,
3504102Y0210,Brake switch,1,18,Y02100021,
3504102-Y01,Brake switch,1,19,Y02100021,
3736020Y0200,Power off switch shield,1,20,Y02100021,
3790010Y0210,Lock cylinder left door,1,1,Y02100022,
3790030-Y01,Circlip lock cylinder left door,1,2,Y02100022,
3791010Y0210,Remote key casing,2,3,Y02100022,
3791012Y0210,Key gear piece,1,4,Y02100022,
3791012Y0210A,Key gear piece,1,,Y02100022,
3791001Y0210,Remote key assy,2,5,Y02100022,
3790010Y0210-Z001,Lock cylinder  left door,1,6,Y02100022,
4002010Y0210,Front compartment wiring harness,1,1,Y02100023,
4002020Y0210,Roof wiring harness assembly hall version,1,2,Y02100023,
4002030Y0210,Left door wiring harness assy (Hall version),1,3,Y02100023,
4002040Y0210,Right door wiring harness assy (Hall version),1,4,Y02100023,
4003010Y0210,Main wiring harness assy,1,5,Y02100023,
Q1860620,Hexagon bolt with flange,2,6,Y02100023,
S27348002,Cross recessed large round head tapping screw 4.8 16,2,7,Y02100023,
4003020Y0210,Auxiliary dashboard wiring harness assy,1,8,Y02100023,
4013010Y0200,Tailgate wiring harness assy (Hall version),1,9,Y02100023,
4013020Y0210,Rear bumper harness assembly,1,10,Y02100023,
4014010Y0210,Battery box lock wiring harness,1,11,Y02100023,
4002011Y0210,Negative wiring harness,1,12,Y02100023,
4002616Y0210,M6 Bonding Bolt (FT thread),8,13,Y02100023,
4002816Y0210,M8 Bonding Bolt (FT thread),1,14,Y02100023,
3820010Y0200,Central screen (7inch),1,1,Y02100024,
3820010Y0200A,Central screen (7inch),1,,Y02100024,
S18406001,Hexagon bolt with flange,2,2,Y02100024,
7911010Y0205,Speaker,2,3,Y02100024,
S27348002,Cross recessed large round head tapping screw 4.8 16,4,4,Y02100024,
7925020-Y01,USB assy auxiliary dashboard,1,5,Y02100024,
7925030Y0200,USB assy dashboard,1,6,Y02100024,
3820011Y0200,Phone holder,1,7,Y02100024,
5205010Y0200,Wiper motor,1,1,Y02100025,
S32006002,Hexagon nut with flange,4,2,Y02100025,
5205020Y0200,Wiper arm (including zzle leather hose),1,3,Y02100025,
5205030Y0200,Wiper blade,1,4,Y02100025,
5205040Y0200,Front wiper nut cap,1,5,Y02100025,
5207010-Y01,Washing Kettle Assembly (with Water Pipe),1,6,Y02100025,
S14606004,Hexagon head bolt spring washer and plain washer assy,2,7,Y02100025,
S32006002,Hexagon nut with flange,2,8,Y02100025,
5207020Y0200,Two-way hose assy,1,9,Y02100025,
8103010Y0205,Electric compressor assembly,1,1,Y02100026,
S14608001,Hex bolt spring washer and plain washer assy M8 108,2,2,Y02100026,
8103011Y0210,Electric compressor bracket assy,1,3,Y02100026,
S32008002,Hexagon nut with flange,4,4,Y02100026,
8105010Y0210,Condenser assembly,1,5,Y02100026,
8105011Y0210,Electronic fan assembly,1,6,Y02100026,
S14606004,Hexagon head bolt spring washer and plain washer assy,4,7,Y02100026,
8107010Y0210,HVAC assembly,1,8,Y02100026,
S32008001,hexagon nut with flange,5,9,Y02100026,
8108010Y0210,Compressor suction pipe (EU filler),1,10,Y02100026,
S14606003,Hexagon bolt spring washer and plain washer assy,1,11,Y02100026,
S14606002,Hexagon bolt spring washer and plain washer assy M6 20,1,12,Y02100026,
8108020Y0210,Compressor exhaust pipe,1,13,Y02100026,
S14606003,Hexagon bolt spring washer and plain washer assy,2,14,Y02100026,
8108030Y0210,Fluid inlet pipe evaporation tank,1,15,Y02100026,
S14606003,Hexagon bolt spring washer and plain washer assy,3,16,Y02100026,
8112010Y0210,Air conditioning control panel assembly,1,17,Y02100026,
S27342003,Cross recessed large half round head tapping screw 4.2   13,18,18,Y02100026,
5306104Y0210,Air duct central air outlet,1,19,Y02100026,
5306030Y0210,Front defrost assembly,1,20,Y02100026,
5306136Y0210,Left defrosting duct,1,21,Y02100026,
5306141Y0210,Right defrosting duct,1,22,Y02100026,
2803013-Y01,Mounting bracket front bumper-left,1,1,Y02100027,
ZH2204-16,A-type reed nut,6,2,Y02100027,
S18606003,Hexagon bolt with flange,2,3,Y02100027,
2803014-Y01,Mounting bracket front bumper- right,1,4,Y02100027,
S18606003,Hexagon bolt with flange,2,5,Y02100027,
2803002Y0210D-KIT,Front bumper service kit,1,6,Y02100027,
2803002Y0210D,Front bumper body,1,6,Y02100027,
Z056,Cushion,3,7,Y02100027,
8402509Y0210,Steel clip,2,8,Y02100027,
S44003001,Mushroom head break mandrel blind rivet,2,9,Y02100027,
S40203001,Big washer,2,10,Y02100027,
2803009-Y01D,Front bumper lower trim panel,1,11,Y02100027,
2803007-Y01D,Front bumper trim panel,1,12,Y02100027,
2803003-Y01D,Front bumper central trim panel,1,13,Y02100027,
2803005-Y01D,Front bumper trim strip,1,14,Y02100027,
2803019-Y01,Air deflector trim panel front bumper,1,15,Y02100027,
6102051-Y01,Dustproof sponge,2,16,Y02100027,
S27342003,Cross recessed large half round head tapping screw 4.2   13,5,17,Y02100027,
2803017-Y01,Mounting plate front license plate,1,18,Y02100027,
ZH2204-6,Leaf spring nut B type,4,19,Y02100027,
S27348003,Cross recessed large half-round head tapping screw,4,20,Y02100027,
2803011-Y01D,Front combination light lower trim panel-left,1,21,Y02100027,
2803012-Y01D,Front combination light lower trim panel-right,1,22,Y02100027,
S27348003,Cross recessed large half-round head tapping screw,2,23,Y02100027,
S18606003,Hexagon bolt with flange,7,24,Y02100027,
2804201Y0210,Rear bumper hinge assy-left,1,1,Y02100028,
2804202Y0210,Front bumper hinge assy-Right,1,2,Y02100028,
S27348003,Cross recessed large half-round head tapping screw,4,3,Y02100028,
S18606003,Hexagon bolt with flange,6,4,Y02100028,
S18408002,Hexagon head bolt with flange,4,5,Y02100028,
2804508-Y01,Mounting bracket rear left bumper,1,1,Y02100029,
ZH2204-11,B-type leaf spring nut- with M8 Nut,2,2,Y02100029,
ZH2204-16,A-type reed nut,2,,Y02100029,
S18606003,Hexagon bolt with flange,1,3,Y02100029,
2804509-Y01,Mounting bracket rear right and rear left bumper,1,4,Y02100029,
S18606003,Hexagon bolt with flange,1,5,Y02100029,
2804510Y0210D,Rear bumper body assembly,1,6,Y02100029,
2804501Y0210D,Rear bumper body,1,7,Y02100029,
2804504-Y01D,Rear bumper upper trim,1,8,Y02100029,
2804505-Y01D,Rear bumper lower trim,1,9,Y02100029,
Z024,Metal expansion nut,4,10,Y02100029,
5107003-Y01,Side door buffer block,4,11,Y02100029,
ZH1210,Plastic nut seat,4,12,Y02100029,
S27348003,Cross recessed large half-round head tapping screw,4,13,Y02100029,
S27342003,Cross-recessed half-round large head self-tapping screw,2,14,Y02100029,
S18606003,Hexagon bolt with flange,2,15,Y02100029,
2804521Y0210D,Rear bumper sliding door welding assembly,1,16,Y02100029,
ZH2204-6,Leaf spring nut B type,2,17,Y02100029,
2804901Y0210,Switching guide block,2,1,Y02100030,
S18606003,Hexagon bolt with flange,4,2,Y02100030,
3102111-Y01,Guard panel front left wheel cowling,1,1,Y02100031,
ZH830,Snap fastener (Small head),14,2,Y02100031,
ZH890,Snap fastener (Big head),10,3,Y02100031,
Q2214816,Cross recessed head self-tapping screw and plain washer assy,12,4,Y02100031,
Z058,Stud fastener,10,5,Y02100031,
3102112-Y01,Guard panel front right wheel cowling,1,6,Y02100031,
3102113-Y01,Guard panel rear left wheel cowling,1,7,Y02100031,
3102117-Y01,Side trim panel guard panel rear left wheel cowling,1,8,Y02100031,
3102114-Y01,Guard panel rear right wheel cowling,1,9,Y02100031,
3102118-Y01,Side trim panel guard panel rear right wheel cowling,1,10,Y02100031,
5107101Y0210,Left bottom guard panel,1,1,Y02100032,
5107102-Y01,Right bottom guard panel,1,2,Y02100032,
5107103Y0210,Center bottom guard panel,1,3,Y02100032,
ZH830,Snap fastener (Small head),2,4,Y02100032,
S32006003,hexagon nut with flange,17,5,Y02100032,
5206010-Y01,Front windshield glass,1,1,Y02100033,
5206030-Y01,Left roof ceiling glass,1,2,Y02100033,
5206040-Y01,Right roof ceiling glass,1,3,Y02100033,
6303010-Y01,Rear windshield glass,1,4,Y02100033,
5603100Y0210,Rear windshield glass,1,4,Y02100033,
5203010-Y01,Front left triangle window glass,1,5,Y02100033,
5203020-Y01,Front right triangle window glass,1,6,Y02100033,
6103010-Y01,Left door windshield glass,1,7,Y02100033,
6103020-Y01,Right door windshield glass,1,8,Y02100033,
5302020-Y01,Front wiper cover plate,1,1,Y02100034,
S27348003,Cross recessed large half-round head tapping screw,6,2,Y02100034,
5302003Y0210,Front flow flume body,1,3,Y02100034,
S18606003,Hexagon bolt with flange,8,4,Y02100034,
5302007-Y01D,Front combo light upper trim panel - left,1,5,Y02100034,
ZH830,Snap fastener (Small head),2,6,Y02100034,
5302008-Y01D,Front combo light upper trim panel - right,1,7,Y02100034,
5302011Y0210D,Cover plate front charging port,1,1,Y02100035,
5302032Y0210,Inner plate front charging port,1,2,Y02100035,
5302031Y0210,Front charging port base,1,3,Y02100035,
5302033Y0210,Rotating shaft front charging port,1,4,Y02100035,
5302035Y0210,cushionfront charging port cover,1,5,Y02100035,
5302034Y0210,spring,1,6,Y02100035,
5306155-Y01,Complete vehicle nameplate,1,1,Y02100036,
5306156-Y01,X Logo,1,2,Y02100036,
5306157-Y01,YOYO logo,1,3,Y02100036,
5306010Y0220,XEV logo,1,4,Y02100036,
5400100Y0210D,Trim panel assy front upper section left wall,1,1,Y02100037,
6102051-Y01,Dustproof sponge,1,2,Y02100037,
ZH1255,D-shaped buckle,17,3,Y02100037,
S18606003,Hexagon bolt with flange,6,4,Y02100037,
5400300Y0210D,Trim panel assy rear upper section left wall,1,5,Y02100037,
ZH1210,Plastic nut seat,16,6,Y02100037,
S27348003,Cross recessed large half-round head tapping screw,14,7,Y02100037,
5400500-Y01D,Left side small trim assembly,1,8,Y02100037,
S27348002,Cross-recessed half-round large head self-tapping screw,4,9,Y02100037,
ZH680,Metal V-fastener,3,10,Y02100037,
5400101-Y01D,Left rear wheel plate,1,11,Y02100037,
ZH2204-16,A-type reed nut,3,12,Y02100037,
5400771-Y01D,The lower left threshold,1,13,Y02100037,
ZH2204-6,Leaf spring nut B type,1,14,Y02100037,
S22148002,Cross recessed head self-tapping screw and plain washer assy,4,15,Y02100037,
5400200Y0210D,Trim panel assy front upper section right wall,1,1,Y02100038,
