codice,descrizione,quantita,id,esploso
S50108001,Spina di bloccaggio Ø8,1,6,Y02300006
S51008001,Perno Ø8*25,1,7,Y02300006
3540113Y0230,Tappo serbatoio liquido freni,1,8,Y02300006
2915100Y0230,Ammortizzatore posteriore,2,1,Y02300007
2912011Y0230,Molla elicoidale posteriore,2,2,Y02300007
2914300Y0240,Assieme barra di spinta,2,3,Y02300007
2914200Y0230,Barra stabilizzatrice posteriore,1,4,Y02300007
2912013Y0230,Tampone posteriore,2,5,Y02300007
2912012Y0230,Base superiore montaggio molla posteriore,2,6,Y02300007
S18512004,Bulloni flangiati esagonali M12*85 zincatura argento,4,7,Y02300007
S18512001,Bulloni flangiati esagonali M12*55 zincatura argento,2,8,Y02300007
S18512003,Bulloni flangiati esagonali M12*75 zincatura argento,1,9,Y02300007
2906106Y0230,Rondella grande Ø12,1,10,Y02300007
S40212002,Rondella grande Ø12 zincatura nera,2,11,Y02300007
S33112001,Dado autobloccante esagonale flangiato M12 zincatura argento T13,10,12,Y02300007
S18512901,Bullone flangiato esagonale M12*90*P1.25 zincatura argento classe 10.9,2,13,Y02300007
3100101Y0230,Pneumatico (155/70-R13),4,1,Y02300008
3100106Y0230,"Cerchio in acciaio 13""",4,2,Y02300008
3100102Y0240,Valvola gonfiaggio (TR418),4,3,Y02300008
3106107Y0240,Dado ruota (cerchio acciaio),16,4,Y02300008
5306163Y0230,"Etichetta pneumatico - 13""",1,5,Y02300008
3100105-Y01,"Cerchio in alluminio 15"" (chiaro)",4,1,Y02300009
3100101Y0241,Pneumatico (155/60-R15),4,2,Y02300009
3100102Y0241,Valvola gonfiaggio (TR413),4,3,Y02300009
3106106Y0240,Dado ruota (cerchio alluminio),16,4,Y02300009
3100104-Y01,Copricerchio,4,5,Y02300009
5306164Y0230,"Etichetta pneumatico - 15""",1,6,Y02300009
Z3400104Y0240,Volante con comandi,1,1,Y02300010
3400104Y0240,Volante assy,1,2,Y02300010
3400135Y0230,Copertura clacson,1,3,Y02300010
3400106Y0230,Colonna sterzo elettrica assy,1,1,Y02300011
3400102Y0230,Albero sterzo inferiore assy,1,2,Y02300011
3400108Y0230,Protezione albero inferiore sterzo,1,3,Y02300011
Q32312F61,Dado volante,1,4,Y02300011
3400161Y0230,Colonna sterzo con motore,1,5,Y02300011
3400162Y0230,Giunto cardanico colonna sterzo,1,6,Y02300011
Q1420830T13F61,Bullone testa esagonale con rondella elastica,1,7,Y02300011
3400166Y0230,Bullone testa esagonale con rondella elastica e piana,2,8,Y02300011
3400165Y0230,Staffa centralina EPS,1,9,Y02300011
3400164Y0230,Centralina EPS,1,10,Y02300011
S32008002,Dado esagonale flangiato M8 zincatura argento,3,11,Y02300011
S18608006,Bullone flangiato esagonale M8*70 zincato,1,12,Y02300011
Q1420830T13F61,Bullone testa esagonale con rondella elastica,2,13,Y02300011
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,2,14,Y02300011
3400101Y0230,Scatola guida con tiranti assy,1,1,Y02300012
S33112001,Dado autobloccante esagonale flangiato M12 zincatura argento T13,2,2,Y02300012
S50032002,Spina elastica,2,3,Y02300012
Q381B12,Dado esagonale scanalato tipo I,2,4,Y02300012
3400113Y0230,Testina sterzo,2,5,Y02300012
3400111Y0230,Scatola guida con tirante interno,1,6,Y02300012
3400116Y0230,Cuffia parapolvere,2,7,Y02300012
16850006,Fascetta cuffia parapolvere,2,8,Y02300012
16812004,Collare tubo cuffia parapolvere,2,9,Y02300012
S18512002,Bulloni flangiati esagonali M12*65 zincatura argento,2,10,Y02300012
3400115Y0230,Manicotto sigillante,1,11,Y02300012
3400114Y0230,Base sigillante,1,12,Y02300012
2801100Y0240,Telaio ausiliario anteriore assy,1,1,Y02300013
2904100Y0230,Braccio oscillante anteriore assy,2,2,Y02300013
2906101Y0230,Barra stabilizzatrice anteriore,1,3,Y02300013
2906102-Y01,Boccola barra stabilizzatrice,2,4,Y02300013
2906103Y0230,Staffa montaggio barra stabilizzatrice,2,5,Y02300013
2906105-Y01,Boccola terminale barra stabilizzatrice,4,6,Y02300013
2906106Y0230,Rondella grande Ø12,2,7,Y02300013
2906107Y0230,Rondella grande Ø16,2,8,Y02300013
S18510001,Bulloni flangiati esagonali M10*25 zincatura argento,10,9,Y02300013
S33110001,Dado autobloccante esagonale flangiato M10 zincatura argento T13,4,10,Y02300013
S18510006,Bulloni flangiati esagonali M10*75 zincatura argento,2,11,Y02300013
S33112001,Dado autobloccante esagonale flangiato M12 zincatura argento T13,2,12,Y02300013
3501102Y0230,Freno anteriore destro con mozzo assy,1,1,Y02300014
3501101Y0230,Freno anteriore sinistro con mozzo assy,1,2,Y02300014
3501112Y0230,Snodo sterzo sinistro con albero intermedio,1,3,Y02300014
3501113Y0230,Pinza freno sinistra assy,1,4,Y02300014
3501122Y0230,Snodo sterzo destro con albero intermedio,1,5,Y02300014
3501123Y0230,Pinza freno destra assy,1,6,Y02300014
3501114Y0230,Unità mozzo ruota con corona ABS,2,7,Y02300014
3501111Y0230,Disco freno,2,8,Y02300014
3501115Y0230,Pastiglia freno anteriore esterna,2,9,Y02300014
3501117Y0240,Bullone staffa pinza (con flangia),4,10,Y02300014
3501118Y0240,Dado centrale,2,11,Y02300014
3501120Y0240,Coperchio terminale,2,12,Y02300014
S18510005,Bulloni flangiati esagonali M10*50 zincatura argento,2,13,Y02300014
3501116Y0230,Pastiglia freno anteriore sinistra interna,1,14,Y02300014
3501126Y0230,Pastiglia freno anteriore destra interna,1,15,Y02300014
S33110001,Dado autobloccante esagonale flangiato M10 zincatura argento T13,2,16,Y02300014
2904101Y0230,Ammortizzatore anteriore sinistro assy,1,1,Y02300015
2904102Y0230,Ammortizzatore anteriore destro assy,1,2,Y02300015
S33112001,Dado autobloccante esagonale flangiato M12 zincatura argento T13,4,3,Y02300015
S18512001,Bulloni flangiati esagonali M12*55 zincatura argento,4,4,Y02300015
S32008002,Dado esagonale flangiato M8 zincatura argento,4,5,Y02300015
Z2912100Y0230,Assale posteriore con cavo freno stazionamento,1,1,Y02300016
2912101Y0230,Tamburo freno,2,1,Y02300017
2912102Y0230,Freno destro assy,1,2,Y02300017
2912103Y0230,Assieme semiasse,2,3,Y02300017
2912104Y0230,Paraolio semiasse,2,4,Y02300017
2912105Y0230,Assieme carcassa assale posteriore,1,5,Y02300017
2912106Y0230,Freno sinistro assy,1,6,Y02300017
2912107Y0230,Assieme riduttore finale,1,7,Y02300017
2912108Y0230,Bullone collegamento freno,8,8,Y02300017
2912109Y0230,Rondella 10,8,9,Y02300017
2912110Y0230,Dado collegamento freno,8,10,Y02300017
2912111Y0230,Dado collegamento riduttore finale M8,8,11,Y02300017
2912112Y0230,Rondella 8,8,12,Y02300017
2912113Y0230,Valvola di sfiato,1,13,Y02300017
2912114Y0230,Tappo di scarico assy,1,14,Y02300017
2912115Y0230,Guarnizione tappo di scarico,1,15,Y02300017
2912116Y0230,Guarnizione tappo di riempimento,1,16,Y02300017
2912117Y0230,Tappo di riempimento,1,17,Y02300017
S18408002,Bullone flangiato esagonale M8*20 zincatura argento,4,18,Y02300017
S32008002,Dado flangiato esagonale M8 zincatura argento,2,19,Y02300017
2912017Y0230,Staffa montaggio E?Motor,1,20,Y02300017
S18408004,Bullone flangiato esagonale M8*30*P1.25 zincatura argento classe 8.8,3,21,Y02300017
2912118Y0230,Ceppo freno sinistro assy,1,22,Y02300017
2912119Y0230,Cepoo freno destro assy,1,23,Y02300017
2101020Y0230,Modulo batteria di potenza,3,1,Y02300018
2101024Y0230,Piastra coprimodulo 1,1,2,Y02300018
2101025Y0230,Piastra coprimodulo 2,1,3,Y02300018
2101026Y0230,Piastra fissaggio cablaggio,1,4,Y02300018
2101037Y0230,Maniglia pacco batteria,1,5,Y02300018
2101038Y0230,Maniglia lamiera di fissaggio,2,6,Y02300018
2101039Y0230,Film riscaldante Y02,1,7,Y02300018
2101040Y0230,Anello di tenuta,3,8,Y02300018
2101041Y0230,Connessione flessibile terminale positivo,1,9,Y02300018
2101042Y0230,Connessione flessibile terminale negativo,1,10,Y02300018
2101043Y0230,Barra rigida rame terminale negativo,1,11,Y02300018
2101011Y0230,BSU?SINOEV,1,12,Y02300018
2101049Y0230-Z001,Cablaggio rapido assy,1,13,Y02300018
2101044Y0230,Rivetti plastici foro 3.7 BNJ?0005B,25,14,Y02300018
2101045Y0230,Valvola di sfiato modello VV?P124?00?KS1,1,15,Y02300018
2101055Y0230,Bulloni esagonali M6*12 con flangia zincatura nera (con adesivo nylon),3,16,Y02300018
2101056Y0230,Bulloni esagonali M5*30 zincatura nera con rondella a molla e rondella piana,4,17,Y02300018
2101057Y0230,Dadi esagonali flangiati zincatura nera tipo coppia prevalente (inserto non metallico),2,18,Y02300018
2101058Y0230,Vite testa bombata esagonale cava M4*10 zincatura nera con rondella a molla e rondella piana,4,19,Y02300018
2101060Y0230,Bulloni esagonali M4*20 zincatura nera con rondella a molla e rondella piana,42,20,Y02300018
2101061Y0230,Vite testa bombata esagonale cava M3*10 zincatura nera con rondella a molla e rondella piana,14,21,Y02300018
2101064Y0230,Vite svasata testa piatta M4*10 zincatura nera,4,22,Y02300018
2101046Y0230,Fascetta BNJ?0181 foro 5.5,2,23,Y02300018
2101054Y0230,Etichetta avvertimento alta tensione,1,24,Y02300018
2103010Y0250,Motore di trazione,1,1,Y02300019
2103020Y0240,Staffa cablaggio trifase motore,1,2,Y02300019
S18408004,Bullone flangiato esagonale M8*30*P1.25 zincatura argento classe 8.8,3,3,Y02300019
4002616Y0230,Bullone di massa M6 (filettatura FT),1,4,Y02300019
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,2,5,Y02300019
2108010Y0250,VCU assy,1,1,Y02300020
S32006003,Dado flangiato esagonale M6*P1 zincatura nero?nichel classe 8,4,2,Y02300020
2142010Y0230,Corpo controller motore,1,1,Y02300021
S18408004,Bullone flangiato esagonale M8*30*P1.25 zincatura argento classe 8.8,8,2,Y02300021
4002616Y0230,Bullone di massa M6 (filettatura FT),1,3,Y02300021
2105010Y0230,Cablaggio positivo controller motore,1,1,Y02300022
2105020Y0230,Cablaggio negativo controller motore,1,2,Y02300022
2105040Y0230,Cavo conversione PTC & compressore,1,3,Y02300022
2105050Y0230,Cablaggio alta tensione sistema ausiliario,1,4,Y02300022
2105020Y0230,Cablaggio commutazione alta tensione sistema ausiliario,1,5,Y02300022
2105060-Y01,Fascetta doppia testa (19mm),1,6,Y02300022
S32006003,Dado flangiato esagonale M6*P1 zincatura nero?nichel classe 8,1,7,Y02300022
2107020Y0230,Presa di ricarica (EN),1,1,Y02300023
2107030-Y01,Caricatore EV (EN),1,2,Y02300023
2107060Y0230,Assieme tre?in?uno,1,3,Y02300023
2107061Y0230,Staffa superiore sinistra tre?in?uno,1,4,Y02300023
2107062Y0230,Staffa inferiore tre?in?uno,1,5,Y02300023
2107063Y0230,Staffa superiore destra tre?in?uno,1,6,Y02300023
4002616Y0230,Bullone di massa M6 (filettatura FT),1,7,Y02300023
S18406004,Bullone flangiato esagonale M6*16*P1 zincatura nera classe 8.8,6,8,Y02300023
S18608003,Bullone flangiato esagonale M8*20 zincatura argento,4,9,Y02300023
S32008002,Dado flangiato esagonale M8 zincatura argento,1,10,Y02300023
S18608009,Bullone flangiato esagonale M8*16*P1.25 zincatura argento classe 8.8,1,11,Y02300023
2107050-Y01,Borsa caricatore,1,12,Y02300023
2107064Y0230,Fusibile 63A,2,13,Y02300023
2107040-Y01,Caricatore doppia testa (EN),1,14,Y02300023
Z2101100Y0230,Dispositivo scatola batteria di potenza,1,1,Y02300024
Z2101100Y0280,Dispositivo scatola batteria di potenza,1,1,Y02300025
2101013Y0230,Boccola anti?attrito,6,1,Y02300026
210101B-Y01,Fast?plug scatola batteria,3,2,Y02300026
210101AY0230,Cablaggio negativo batteria,1,3,Y02300026
2101019Y0230,Cablaggio positivo batteria,1,4,Y02300026
210101H-Y01,Cavo collegamento moduli batteria,2,5,Y02300026
210101CY0230,Cablaggio comunicazione scatola batteria,1,6,Y02300026
210101DY0230,Tappo gomma passaggio cavi positivo/negativo batteria,2,7,Y02300026
Z2109100Y0230,Assieme scatola alta tensione,1,1,Y02300027
2101012Y0230,Scatola acquisizione alta tensione,1,1,Y02300028
2101054Y0230,Etichetta avvertimento alta tensione,1,2,Y02300028
2109010Y0230B,Scatola alta tensione,1,3,Y02300028
2101518Y0240,Shunt,1,4,Y02300028
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,4,5,Y02300028
2109011Y0250,Cassa scatola alta tensione assy,1,6,Y02300028
2109015Y0250,Relè 150A,1,7,Y02300028
2109017-Y01,Relè 20A,2,8,Y02300028
2109018Y0250,Fusibile ritardato 300A,1,9,Y02300028
2101515Y0240,Fusibile riscaldamento,1,10,Y02300028
2109112Y0250,Resistenza pre?carica 25? 60W,1,11,Y02300028
2109113Y0250,Cablaggio comunicazione scatola alta tensione,1,12,Y02300028
3601010Y0240,Modulo controllo carrozzeria (BCM),1,1,Y02300029
3601030Y0230,Antenna avviamento,1,2,Y02300029
3704010Y0230,Interruttore avviamento passivo,1,3,Y02300029
3791020Y0230,Interruttore PE (con antenna),1,4,Y02300029
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,3,5,Y02300029
S27348004,Vite autofilettante testa semitonda ST4.8*13 zincatura nero?nichel,2,6,Y02300029
3721010Y0240,Clacson alta frequenza,1,1,Y02300030
3774010Y0230,Assieme devioluci,1,2,Y02300030
S23004001,Vite testa cilindrica M4*10 con rondella piana zincatura colorata classe 4.8,2,3,Y02300030
3782010-Y01,Interruttore regolazione specchietto elettrico,1,4,Y02300030
S27342003,Vite autofilettante testa semitonda ST4.2*13 zincatura nero?nichel,4,5,Y02300030
3504102Y0230,Interruttore freno,1,6,Y02300030
3778010Y0200,Blocco sterzo,1,7,Y02300030
3781010Y0250,Interruttore marce,1,8,Y02300030
S18606003,Bullone flangiato esagonale M6*16*P1 zincatura nera classe 8.8,1,9,Y02300030
3790020-Y01,Interruttore apertura portellone,1,10,Y02300030
3766010Y0230,Interruttore avviso,1,11,Y02300030
3746010Y0240,Interruttore alzacristalli,2,12,Y02300030
3790040Y0230,Sportellino mobile paraurti posteriore,1,13,Y02300030
3774020Y0230,Assieme spirale volante (clock spring),1,14,Y02300030
3790010Y0230-Z001,Cilindro serratura porta sinistra con chiave meccanica,1,1,Y02300031
3790030-Y01,Seeger cilindro serratura porta sinistra,1,2,Y02300031
3791001Y0230,Telecomando chiave assy,1,3,Y02300031
4002010Y0230,Cablaggio vano anteriore assy,1,1,Y02300032
4002020Y0230,Cablaggio tetto assy,1,2,Y02300032
4002030Y0240,Cablaggio porta sinistra assy,1,3,Y02300032
4002040Y0240,Cablaggio porta destra assy,1,4,Y02300032
4003010Y0230,Cablaggio principale assy,1,5,Y02300032
S18606002,Bullone flangiato esagonale M6*20 zincatura nera,2,6,Y02300032
S27348002,Vite autofilettante testa semitonda ST4.8*16 zincatura nera,2,7,Y02300032
S18406001,Bulloni flangiati esagonali M6*12*P1 zincatura nera classe 8.8,2,8,Y02300032
4002200Y0230,Cablaggio lato destro assy,1,9,Y02300032
4003020Y0230,Cablaggio ausiliario cruscotto assy,1,10,Y02300032
4013010Y0250,Cablaggio portellone assy,1,11,Y02300032
4013020Y0250,Cablaggio paraurti posteriore assy,1,12,Y02300032
4002616Y0230,Bullone di massa M6 (filettatura FT),11,13,Y02300032
4003011Y0230,Staffa cablaggio principale,1,14,Y02300032
S14606121,Bullone testa esagonale M6*12 con rondella elastica e piana zincatura argento classe 8.8,1,15,Y02300032
4014010Y0230,Cablaggio serratura scatola batteria,1,16,Y02300032
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,2,17,Y02300032
5205010Y0200,Motorino tergicristallo,1,1,Y02300033
5205020Y0200,Braccio tergicristallo (con tubo ugello),1,2,Y02300033
5205030Y0200,Lama tergicristallo,1,3,Y02300033
5205040Y0200,Cappuccio dado tergicristallo,1,4,Y02300033
5207030Y0240,Tubo lavacristallo,1,5,Y02300033
5207010Y0240,Serbatoio lavacristallo assy,1,6,Y02300033
5207020Y0200,Tubo a due vie assy,1,7,Y02300033
5207020Y0240,Cappuccio antipolvere bocchettone serbatoio lavacristallo,1,8,Y02300033
S99006201,Bullone testa esagonale M6*20 con rondella elastica e rondella grande zincatura nera classe 8.8,2,9,Y02300033
S32006003,Dado flangiato esagonale M6*P1 zincatura nero?nichel classe 8,5,10,Y02300033
3820050Y0205,Interruttore volante,1,1,Y02300034
3820010Y0205,Antenna GPS + antenna radio assy,1,2,Y02300034
7911010Y0241,Altoparlante,2,3,Y02300034
3820021Y0205,Unità principale,1,4,Y02300034
3820022Y0205,Schermo LCD,1,5,Y02300034
7925020Y0240,USB assy cruscotto ausiliario,1,6,Y02300034
7925030Y0240,USB assy quadro strumenti,1,7,Y02300034
S18406001,Bulloni flangiati esagonali M6*12*P1 zincatura nera classe 8.8,2,8,Y02300034
S18606003,Bulloni flangiati esagonali M6*16*P1 zincatura nera classe 8.8,4,9,Y02300034
S27348002,Viti autofilettanti a testa semitonda larga ST4.8*16 zincatura nera,4,10,Y02300034
3820010Y0230,Assieme antenna radio e navigazione,1,11,Y02300034
3820011Y0230,Staffa di montaggio antenna,1,12,Y02300034
8103010Y0230,Assieme compressore elettrico,1,1,Y02300035
4002616Y0230,Bullone di massa M6 (filettatura FT),1,2,Y02300035
8103011Y0230,Assieme staffa compressore elettrico,2,3,Y02300035
8105010Y0230,Assieme condensatore,1,4,Y02300035
8105011Y0230,Assieme ventola elettronica,1,5,Y02300035
8108020Y0230,Tubo di scarico compressore,1,6,Y02300035
8108040Y0230,Assieme linea di refrigerazione,1,7,Y02300035
5306153Y0230,Etichetta specifiche condensatore/ventola,1,8,Y02300035
5306154Y0230,Etichetta refrigerante climatizzatore,1,9,Y02300035
S32008002,Dado flangiato esagonale M8 zincatura dacromet argento,6,10,Y02300035
S18608007,Bullone flangiato M8*150 zincatura dacromet argento,2,11,Y02300035
S14606004,Bullone testa esagonale con rondella elastica e piana M6*35 zincatura dacromet argento,4,12,Y02300035
S14606003,Bullone testa esagonale con rondella elastica e piana M6*25 zincatura dacromet argento,4,13,Y02300035
S14606002,Bullone testa esagonale con rondella elastica e piana M6*20 zincatura dacromet argento,2,14,Y02300035
8107010Y0230,Assieme HVAC,1,1,Y02300036
8112010Y0240,Assieme pannello controllo climatizzatore,1,2,Y02300036
5306104Y0230,Condotto aria – bocchetta centrale,1,3,Y02300036
5306030Y0230,Assieme sbrinatore anteriore,1,4,Y02300036
5306136Y0230,Condotto sbrinamento sinistro,1,5,Y02300036
5306141Y0230,Condotto sbrinamento destro,1,6,Y02300036
S27342003,Viti autofilettanti testa semitonda larga ST4.2*13 zincatura nero?nichel,2,7,Y02300036
S27348002,Viti autofilettanti testa semitonda larga ST4.8*16 zincatura nera,16,8,Y02300036
S32008002,Dado flangiato esagonale M8 zincatura dacromet argento,5,9,Y02300036
7925040Y0230,T?BOX,1,1,Y02300037
S32006003,Dado flangiato esagonale M6*P1 zincatura nero?nichel grado 8,3,2,Y02300037
7925041Y0230,Antenna GPS+4G,1,3,Y02300037
3703010Y0230,Batteria 12V,1,1,Y02300038
S18606002,Bullone flangiato M6*20 zincatura dacromet nera,4,2,Y02300038
6301711Y0240,Piastra rinforzo cerniere portellone sinistra,1,1,Y02300039
6301713Y0240,Piastra rinforzo cerniere portellone destra,1,2,Y02300039
6301591Y0240,Assieme staffa serratura portellone,1,3,Y02300039
5101571Y0240,Assieme staffa trave di torsione,1,4,Y02300039
S18510001,Bulloni flangiati M10*25 zincatura dacromet argento,5,5,Y02300039
5101272Y0240,Staffa superiore condensatore,2,6,Y02300039
S18408006,Bullone flangiato M8*12*P1.25 zincatura dacromet nera 8.8,2,7,Y02300039
5101191Y0230,Staffa MCU – componente II,1,8,Y02300039
5101187Y0230,Staffa MCU – componente I,1,9,Y02300039
S18608201,Bullone flangiato con guida M8*20*P1.25 zincatura dacromet argento 8.8,2,10,Y02300039
5133832Y0280,Staffa montaggio paraurti posteriore,1,11,Y02300039
5101850-Y01,Piastra esterna rinforzo molla sospensione anteriore – sinistra,1,1,Y02300040
5101860-Y01,Piastra esterna rinforzo molla sospensione anteriore – destra,1,2,Y02300040
5401170-Y01,Staffa montaggio trave tubolare sinistra,1,3,Y02300040
5401180-Y01,Staffa montaggio trave tubolare destra,1,4,Y02300040
6101100Y0230,Assieme porta anteriore sinistra,1,5,Y02300040
6106010Y0230,Cerniera superiore porta,2,6,Y02300040
6106030Y0230,Cerniera inferiore porta,2,7,Y02300040
S18608010,Bullone flangiato M8*25*P1.25 zincatura dacromet argento classe 10.9,16,8,Y02300040
6101200Y0230,Assieme porta anteriore destra,1,9,Y02300040
S18606003,Bulloni flangiati M6*16*P1 zincatura dacromet nera 8.8,12,10,Y02300040
5133834Y0280,Staffa montaggio paraurti posteriore,2,11,Y02300040
5701090-Y01,Assieme longherone superiore,1,1,Y02300041
5701011-Y01,Copertura trave anteriore tetto,1,2,Y02300041
5701030-Y01,Piastra inferiore trave anteriore tetto,1,3,Y02300041
5701020Y0240,Assieme trave posteriore tetto,1,4,Y02300041
5601112Y0280,Assieme trave posteriore tetto,1,5,Y02300041
5401030-Y01,Pannello interno soglia porta sinistra,1,1,Y02300042
5401230-Y01,Pannello interno soglia sinistra,1,2,Y02300042
5401111-Y01,Pannello esterno lato sinistro,1,3,Y02300042
5401110-Y01,Staffa montaggio paraurti posteriore sinistra,1,4,Y02300042
5401150-Y01,Assieme canalina flusso posteriore sinistra,1,5,Y02300042
5101551-Y01,Staffa integrata montaggio,1,6,Y02300042
5401810-Y01,Piastra montaggio serratura porta sinistra,1,7,Y02300042
5401301-Y01,Piastra rinforzo montante A sinistra,1,8,Y02300042
5401303-Y01,Segmento superiore rinforzo montante A sinistra,1,9,Y02300042
5401310-Y01,Piastra rinforzo cerniera superiore sinistra,1,10,Y02300042
5401330-Y01,Piastra rinforzo cerniera inferiore sinistra,1,11,Y02300042
5401313Y0230,Staffa faro sinistro,1,12,Y02300042
5401011-Y01,Piastra collegamento trave anteriore tetto sinistra,1,13,Y02300042
5401015-Y01,Piastra interna trave laterale superiore sinistra,1,14,Y02300042
5401017-Y01,Segmento posteriore interno sinistro,1,15,Y02300042
5401710Y0240,Assieme pannello interno posteriore sinistro,1,16,Y02300042
5701037Y0240,Piastra rinforzo cerniera posteriore sinistra,1,17,Y02300042
5401713Y0240,Piastra dado cintura di sicurezza,1,18,Y02300042
5401350-Y01,Pannello interno montante A sinistro,1,19,Y02300042
5401040-Y01,Pannello interno soglia porta destra,1,1,Y02300043
5401240Y0230,Pannello interno soglia destra,1,2,Y02300043
5401112-Y01,Pannello esterno lato destro,1,3,Y02300043
5101551-Y01,Staffa integrata montaggio,1,4,Y02300043
5401120-Y01,Staffa montaggio paraurti posteriore destra,1,5,Y02300043
5401160-Y01,Assieme canalina flusso posteriore destra,1,6,Y02300043
5401820-Y01,Piastra montaggio serratura porta destra,1,7,Y02300043
5401302-Y01,Piastra rinforzo montante A destra,1,8,Y02300043
5401304-Y01,Segmento superiore rinforzo montante A destra,1,9,Y02300043
5401320-Y01,Piastra rinforzo cerniera superiore destra,1,10,Y02300043
5401340-Y01,Piastra rinforzo cerniera inferiore destra,1,11,Y02300043
5401413Y0230,Staffa faro destro,1,12,Y02300043
5401012-Y01,Piastra collegamento trave anteriore tetto destra,1,13,Y02300043
5401016-Y01,Piastra interna trave laterale superiore destra,1,14,Y02300043
5401018-Y01,Piastra interna posteriore inferiore destra,1,15,Y02300043
5401810Y0240,Assieme pannello interno posteriore destro,1,16,Y02300043
5701038Y0240,Piastra rinforzo cerniera posteriore destra,1,17,Y02300043
5401713Y0240,Piastra dado cintura di sicurezza,1,18,Y02300043
5401360-Y01,Pannello interno montante A destro,1,19,Y02300043
5130158Y0240,Trave scheletro inferiore batteria – sinistra,1,1,Y02300044
5130258Y0240,Trave scheletro inferiore batteria – destra,1,2,Y02300044
5101790Y0230,Assieme trave inferiore pavimento centrale,1,3,Y02300044
5301037-Y01,Staffa montaggio parete anteriore lato destro inferiore,1,4,Y02300044
5101503-Y01,Piastra supporto copertura riparazione posteriore,1,5,Y02300044
